,AMP,Pyruvate,Acetyl-CoA,Glutamate,2OG,Oxaloacetate,Glycine,Succinate,UDP-N-acetylglucosamine,lysine,Aspartate,Glutathione,Arginine,Glutamine,Serine,Methionine,Ornithine,Phenylalanine,Tyrosine,Succinyl-CoA,Cysteine,B-Alanine,Propanoyl-CoA,Glucose-1-phosphate,UMP,Dolichyl phosphate,CDP,Choline,G3P,PRPP,Fumarate,Leucine,IMP,Putrescine,Histidine,GMP,Proline,Malate,Citrate,UDP-glucuronic acid,Valine,Cholesterol,Threonine,3PD,dCMP,Lactate,Hypoxanthine,Glucose,Citrulline,GABA,dTMP,dUMP,Xanthine,Chondroitin,Isoleucine,"(E,E)-Farnesyl-PP",Deoxyadenosine,XMP,G6P,dCDP,Spermine,Argininosuccinate,Dolichyl phosphate D-mannose,AICAR,Fatty Acid,Pyrimidine,(Glc)3 (GlcNAc)2 (Man)9 (Asn)1,(GlcNAc)4 (Man)3 (Asn)1,(Gal)2 (GlcA)1 (Xyl)1 (Ser)1,(Gal)1 (GlcNAc)1 (Man)1 (Ser/Thr)1
C.152,0.008229038,-0.00010929629,0.022549026,-0.01557757,0.002575309,-0.0022315513,-0.014694765,0.016653836,-0.011155771,0.009051815,-0.031611666,-0.0039386437,0.017303992,0.019231865,-0.006244991,-0.02072312,0.011940541,1.6685575e-05,0.0022376068,0.0067691635,0.0034530861,0.012048909,0.00539976,-0.008775737,0.01715526,-0.016909208,-0.005531948,-0.02069955,-0.0001911521,-0.01957959,0.022367574,-0.005957216,0.0032765418,-0.013867219,-0.0032280982,0.010880243,0.0034944694,0.0041354746,0.014578253,-0.010251388,-0.00048609218,-1.7643906e-06,-0.018427655,-0.0013082204,4.643202e-05,-0.004922867,-0.0036194162,-0.013048327,-2.4650246e-05,0.0045942664,0.004311383,-0.0144701,-0.01346577,-0.017585292,-0.0003181484,-0.015378685,0.020995174,-0.03565652,0.00802565,-0.01614216,0.020594135,-0.006565165,0.004528858,-0.012921706,-0.007822186,-0.00011006184,-0.007407546,-0.01491604,-0.0011831187,-0.018054923
B.255,0.00822198,-0.0002851896,0.021701284,-0.015314177,0.00911886,-0.005452914,-0.014915168,0.01674939,-0.009204524,0.009103615,-0.031627554,-0.0034014569,0.017303992,0.018203067,-0.0060274974,-0.02032362,0.014021792,1.6685575e-05,0.002235368,0.0062209982,0.003401733,0.012265841,0.005159419,-0.008775737,0.009609193,-0.018697726,0.00012401119,-0.02069955,1.5489757e-05,-0.019995123,0.022380423,-0.005970508,0.0046417788,-0.013843235,-0.00344792,0.010829221,0.0014302414,0.0041002184,0.011308268,-0.010251388,-0.00017602136,-1.7557177e-06,-0.018314943,-0.0010292307,6.95996e-05,-0.004922867,-0.0036194162,-0.013048327,-2.4922192e-05,0.0045942664,0.0040792376,-0.014440276,-0.013351209,-0.017611034,-0.00011113961,-0.01773916,0.021317242,-0.03593827,0.0059704743,-0.016581614,0.02024518,-0.006564893,0.0045752972,-0.014060333,-0.007879645,-0.000107171014,-0.007209629,-0.012201674,-0.0011685081,-0.018101363
A.376,0.008212369,0.00030275062,0.01237851,-0.012684435,0.004500442,-0.0052817147,-0.014576251,0.017012984,-0.010451915,0.008576855,-0.03169559,-0.0057097864,0.017303992,0.01784491,-0.006360255,-0.021428198,0.0045447545,1.6685575e-05,0.0022188202,0.009827567,0.003728629,0.012547703,0.005062934,-0.008775737,0.0039535165,-0.017898016,0.0040570013,-0.02069955,0.0013079047,-0.01971972,0.022476297,-0.005976379,0.0052085817,-0.013878144,-0.0036850423,0.010792397,0.010463892,0.0033363998,0.015578315,-0.010251388,-0.0023987233,-2.7306378e-06,-0.018662289,-0.000532113,0.00010339916,-0.004922867,-0.0036194162,-0.013048327,-2.611056e-05,0.0045942664,0.0032753944,-0.014406219,-0.01333911,-0.01735907,-0.0004963195,-0.01293269,0.021757944,-0.035999544,0.0047067814,-0.017178044,0.020992145,-0.0065637045,0.0045569837,-0.014592156,-0.0031793565,-0.00015191175,-0.007978141,-0.014173992,-0.0014786012,-0.018083049
B.256,0.008194998,0.00063664094,0.01320396,-0.01294592,0.0066420296,-0.0046697687,-0.01473216,0.016849056,-0.009162234,0.008743212,-0.031663947,-0.0053209425,0.017303992,0.017708788,-0.006200202,-0.021092564,0.0072546415,1.6685575e-05,0.0022251755,0.008349078,0.0036087586,0.012378724,0.005148899,-0.008775737,0.0047312677,-0.01777491,0.003612522,-0.02069955,0.00011256337,-0.019766912,0.022435017,-0.005967021,0.005125925,-0.013870626,-0.0034311414,0.010840353,0.007412074,0.0034653991,0.013267264,-0.010251388,-0.0015461235,-2.1527521e-06,-0.018580899,-0.00087068323,9.696558e-05,-0.004922867,-0.0036194162,-0.013048327,-2.5551766e-05,0.0045942664,0.0026670843,-0.014412254,-0.013321526,-0.01740463,-0.00028993888,-0.010240196,0.022232154,-0.03597299,0.005027961,-0.017223481,0.020796642,-0.0065642633,0.004596032,-0.014504179,-0.0061516017,-0.00023683347,-0.008311316,-0.01453083,-0.0014319234,-0.018122097
A.377,0.008201174,0.00058566406,0.017597534,-0.0096666515,0.010481426,-0.0028003138,-0.014580833,0.016949356,-0.0085021425,0.008594871,-0.03163838,-0.008370753,0.017303992,0.017400185,-0.0063580796,-0.020870343,0.0013467222,1.6685575e-05,0.0021723174,0.009117262,0.0039713094,0.012342403,0.0049381666,-0.008775737,-0.0003643334,-0.019587154,0.005377438,-0.02069955,0.0024416223,-0.020059742,0.022461932,-0.006002009,0.005665377,-0.01381177,-0.0035288185,0.010835648,0.013442693,0.0036367774,0.0073368996,-0.010251388,-0.0021761446,-4.590489e-06,-0.018590465,-0.00055950135,0.00017635152,-0.004922867,-0.0036194162,-0.013048327,-2.5108457e-05,0.0045942664,0.0030729473,-0.014346316,-0.013226576,-0.01767148,-0.0006208075,-0.020128593,0.022116454,-0.03613446,0.0018980019,-0.017810833,0.020613685,-0.0065647066,0.004642293,-0.014957055,0.0016714185,-0.000102834776,-0.008028597,-0.011876695,-0.0011535697,-0.018168358
C.153,0.008227589,0.000116143376,0.026465647,-0.014345095,0.006551545,-0.0032224637,-0.014887884,0.016697455,-0.011532383,0.009059988,-0.031635772,-0.0046392516,0.017303992,0.018649796,-0.006054664,-0.020327166,0.010285999,1.6685575e-05,0.0022306181,0.0062567843,0.003330647,0.012081841,0.005286839,-0.008775737,0.013671428,-0.016864847,-0.0040541925,-0.02069955,4.2639673e-05,-0.019754708,0.0223982,-0.0059619844,0.0041002184,-0.0138500165,-0.0032934844,0.010853164,0.0048399847,0.0041443706,0.011590347,-0.010251388,-0.00025583198,-2.2675376e-06,-0.018394694,-0.0011548232,7.3272735e-05,-0.004922867,-0.0036194162,-0.013048327,-2.5063753e-05,0.0045942664,0.0043942034,-0.014436357,-0.013308264,-0.017617851,-0.00012702862,-0.019766483,0.021052621,-0.035974897,0.008209135,-0.016524192,0.020280525,-0.0065647513,0.0045318827,-0.013694063,-0.008327261,-7.760711e-05,-0.008782461,-0.015837543,-0.001159247,-0.018057948
D.130,0.00816641,0.0005899556,0.023061916,-0.013505951,0.007718281,-0.0047658365,-0.014780061,0.016887333,-0.010965677,0.008848004,-0.03169125,-0.0048505184,0.017303992,0.017776677,-0.0061559677,-0.020979002,0.0052470583,1.6685575e-05,0.0022222549,0.008098314,0.0035705874,0.012270728,0.0051026456,-0.008775737,0.0039709806,-0.017271738,0.003337767,-0.02069955,0.0002111718,-0.019905575,0.0224615,-0.005986184,0.005833432,-0.013860901,-0.0034278035,0.010877442,0.009324489,0.0036443174,0.012308076,-0.010251388,-0.0015467196,-1.8073479e-06,-0.018530414,-0.0007411549,0.000121150166,-0.004922867,-0.0036194162,-0.013048327,-2.6032329e-05,0.0045942664,0.002075985,-0.014390536,-0.013138063,-0.017381713,-0.00041044736,-0.018754292,0.02265747,-0.036189146,0.0069377683,-0.017633658,0.020699248,-0.0065637827,0.0046056546,-0.01518707,-0.0076711774,-0.00013217516,-0.0065440685,-0.015374966,-0.00142413,-0.01813172
A.378,0.00820677,0.0005223192,0.016976036,-0.009132385,0.0099357525,-0.0023765396,-0.014521219,0.016985487,-0.009166734,0.008606441,-0.031640258,-0.008820242,0.017303992,0.017344961,-0.0064160693,-0.020845845,0.0023325458,1.6685575e-05,0.002157785,0.008933285,0.0037763976,0.012287365,0.0050115846,-0.008775737,0.00014534593,-0.019570949,0.004991185,-0.02069955,0.0021103248,-0.02003964,0.022477973,-0.0059886873,0.005501643,-0.013833965,-0.003487274,0.010839306,0.012561439,0.0035022944,0.0073889047,-0.010251388,-0.0018880307,-4.912261e-06,-0.018623188,-0.0006091427,0.00017321482,-0.004922867,-0.0036194162,-0.013048327,-2.5138259e-05,0.0045942664,0.003302887,-0.014348693,-0.0132492855,-0.017675683,-0.0005582627,-0.020256825,0.021967301,-0.036092527,0.0029081814,-0.017736357,0.020609424,-0.0065646768,0.004631676,-0.014822647,0.0026374906,-8.9341775e-05,-0.00676623,-0.011971466,-0.0011485629,-0.018157741
B.257,0.008197378,0.000509087,0.017078102,-0.011355996,0.010068246,-0.0036613774,-0.014484165,0.01677563,-0.0104222465,0.008729696,-0.031706635,-0.0074167703,0.017303992,0.018101746,-0.0064519867,-0.021210372,0.0053727366,1.6685575e-05,0.0022016764,0.008771388,0.0037743794,0.012454184,0.005306389,-0.008775737,0.0009174943,-0.018836051,0.0060604177,-0.02069955,0.00049295276,-0.01983545,0.022507977,-0.00596565,0.006110877,-0.013809494,-0.0035784394,0.010801919,0.009364722,0.0034742504,0.008570507,-0.010251388,-0.0016928255,-1.6279519e-06,-0.01862304,-0.0006459276,0.00012511387,-0.004922867,-0.0036194162,-0.013048327,-2.6308e-05,0.0045942664,0.0025479198,-0.014386885,-0.013208844,-0.017262623,-0.00041337078,-0.012181001,0.022255672,-0.036206193,0.0057414435,-0.017547574,0.020825759,-0.006563507,0.0045982487,-0.015373126,-0.0073025227,-0.00016499497,-0.008637384,-0.012786038,-0.001561936,-0.018124314
E.156,0.008140117,0.00092570856,0.004984621,-0.010423154,0.0077592814,-0.005315004,-0.014483953,0.017024346,-0.0084995795,0.008682549,-0.03169589,-0.00903656,0.017303992,0.018686766,-0.006404033,-0.021934092,0.001871774,1.6685575e-05,0.0021889284,0.010583581,0.0038108015,0.012560787,0.0051756315,-0.008775737,-0.00019726157,-0.020432755,0.008125123,-0.02069955,0.0013855845,-0.019715205,0.022502214,-0.0059712827,0.0057139397,-0.013909397,-0.003598556,0.0108375065,0.012603847,0.0032946467,0.012290701,-0.010251388,-0.0026394068,-1.913868e-06,-0.018673196,-0.0004196409,0.00010800734,-0.004922867,-0.0036194162,-0.013048327,-2.6114285e-05,0.0045942664,0.001280278,-0.014402159,-0.013316132,-0.017017037,-0.00075876806,-0.006267757,0.023053998,-0.035986014,0.002309557,-0.017637622,0.021384135,-0.0065637007,0.0045283437,-0.014918551,-0.0028425902,-0.0002514813,-0.009589016,-0.008638896,-0.0018577836,-0.018054409
