,AMP,Pyruvate,Acetyl-CoA,Glutamate,2OG,Oxaloacetate,Glycine,Succinate,UDP-N-acetylglucosamine,lysine,Aspartate,Glutathione,Arginine,Glutamine,Serine,Methionine,Ornithine,Phenylalanine,Tyrosine,Succinyl-CoA,Cysteine,B-Alanine,Propanoyl-CoA,Glucose-1-phosphate,UMP,Dolichyl phosphate,CDP,Choline,G3P,PRPP,Fumarate,Leucine,IMP,Putrescine,Histidine,GMP,Proline,Malate,Citrate,UDP-glucuronic acid,Valine,Cholesterol,Threonine,3PD,dCMP,Lactate,Hypoxanthine,Glucose,Citrulline,GABA,dTMP,dUMP,Xanthine,Chondroitin,Isoleucine,"(E,E)-Farnesyl-PP",Deoxyadenosine,XMP,G6P,dCDP,Spermine,Argininosuccinate,Dolichyl phosphate D-mannose,AICAR,Fatty Acid,Pyrimidine,(Glc)3 (GlcNAc)2 (Man)9 (Asn)1,(GlcNAc)4 (Man)3 (Asn)1,(Gal)2 (GlcA)1 (Xyl)1 (Ser)1,(Gal)1 (GlcNAc)1 (Man)1 (Ser/Thr)1
A,0.008177523,0.00034404173,0.01323469,-0.01203689,0.0035909647,-0.0064833444,-0.014580622,0.017176326,-0.009896712,0.0086233765,-0.03170894,-0.0054953084,0.017303992,0.016966583,-0.006357843,-0.021043032,0.007967085,1.6685575e-05,0.0021984912,0.010506457,0.003586202,0.012487041,0.0051631294,-0.008775737,0.0034452975,-0.019406866,0.0048995353,-0.02069955,0.0010113716,-0.019862749,0.022504244,-0.0059612393,0.005530499,-0.013878572,-0.0036068857,0.010887068,0.0069780927,0.0034762025,0.016606078,-0.010251388,-0.0022273003,-2.1257438e-06,-0.018743262,-0.0008324445,0.00010211393,-0.004922867,-0.0036194162,-0.013048327,-2.6348978e-05,0.0045942664,0.002074927,-0.014407799,-0.013257541,-0.017391764,-0.00039689802,-0.013529924,0.022634795,-0.03597606,0.0048867874,-0.017422538,0.020739809,-0.006563466,0.004240535,-0.014895871,-0.0046979934,-0.00016940571,-0.0077599585,-0.01176434,-0.0014602132,-0.0177666
B,0.008115336,0.0010772087,0.009386912,-0.010823816,0.011378175,-0.0072405767,-0.014794225,0.0173303,-0.0066006053,0.008982405,-0.03170715,-0.0068564755,0.017303992,0.016731167,-0.006145194,-0.021339685,0.0037116744,1.6685575e-05,0.0022091642,0.00766676,0.0038573006,0.012548165,0.004418608,-0.008775737,-0.006207466,-0.021093335,0.012480114,-0.02069955,0.0017918199,-0.020105168,0.022502638,-0.0060323775,0.006778538,-0.013858578,-0.0036960691,0.010767326,0.010653703,0.0039367825,0.0109898,-0.010251388,-0.001207286,-1.4414545e-06,-0.01836823,-0.0012330255,0.00015508756,-0.004922867,-0.0036194162,-0.013048327,-2.631545e-05,0.0045942664,0.0005776435,-0.014363304,-0.013219722,-0.01751516,-0.0005308199,-0.01646725,0.023401836,-0.036223568,0.00113694,-0.018175956,0.020892367,-0.0065634996,0.0046532974,-0.0157585,0.0013819486,-0.00014134683,-0.0076277256,-0.008380033,-0.0013201721,-0.018179363
A.1,0.0081742965,0.0006319918,0.01211112,-0.01163277,0.007083514,-0.007148085,-0.0146464,0.016904347,-0.010561751,0.008650988,-0.031679813,-0.0068319836,0.017303992,0.017724143,-0.006286001,-0.021099254,0.0026791543,1.6685575e-05,0.0022179708,0.009175001,0.003778859,0.01241512,0.0049940012,-0.008775737,0.00019574165,-0.018190278,0.007831987,-0.02069955,0.00093120337,-0.019787006,0.022469003,-0.0059939027,0.0059144273,-0.013851496,-0.003545314,0.010849189,0.011978505,0.0034599006,0.0153089315,-0.010251388,-0.002335289,-3.2428652e-06,-0.018581048,-0.0005080048,0.000108692795,-0.004922867,-0.0036194162,-0.013048327,-2.5831163e-05,0.0045942664,0.0021175742,-0.014401779,-0.013261534,-0.017431416,-0.00045204302,-0.015547476,0.022654174,-0.03605724,0.0050892793,-0.017476145,0.020759508,-0.006563984,0.0045856386,-0.015110418,-0.0020808727,-0.00015905686,-0.008893028,-0.013094597,-0.0014144816,-0.018111704
E,0.008146316,0.00045363978,-0.0068959557,-0.013920158,0.013281607,-0.004762305,-0.014557028,0.016852878,-0.0097439755,0.0081447065,-0.031633165,-0.004876856,0.017303992,0.01798913,-0.0063700248,-0.021929756,0.0040674955,1.6685575e-05,0.0022230633,0.013871698,0.0044792676,0.012438269,0.005026769,-0.008775737,0.00093996525,-0.018789178,0.00746629,-0.02069955,0.0014293343,-0.01968541,0.022428699,-0.0060058236,0.0065446123,-0.013870689,-0.0036083907,0.010871749,0.010909108,0.003750071,0.00526233,-0.010251388,-0.0052008717,-2.6728958e-06,-0.01871775,-0.0012473594,0.000100046396,-0.004922867,-0.0036194162,-0.013048327,-2.501905e-05,0.0045942664,0.0016732365,-0.014409661,-0.013121076,-0.01768928,-0.0011826754,0.008029852,0.02290433,-0.036230393,0.0042469613,-0.017535165,0.021376595,-0.006564796,0.0040043145,-0.015679076,-0.0032453686,-0.000119129196,-0.005567163,-0.013046525,-0.0011577494,-0.01753038
B.1,0.008197829,0.0005954839,0.015405372,-0.013239518,0.0049670273,-0.006261034,-0.014719106,0.016926028,-0.00797184,0.008750163,-0.031655636,-0.0049219946,0.017303992,0.017668875,-0.0062206984,-0.02102165,0.003549613,1.6685575e-05,0.0022205077,0.008029701,0.0036988892,0.0122988615,0.005035188,-0.008775737,0.0052832365,-0.01746089,0.0028267018,-0.02069955,0.0004939288,-0.019824587,0.022430856,-0.0059711337,0.0049673542,-0.013852115,-0.0034130514,0.010855995,0.011132626,0.0036427528,0.016444325,-0.010251388,-0.0014155596,-2.558343e-06,-0.018561736,-0.0009496361,0.000100594014,-0.004922867,-0.0036194162,-0.013048327,-2.540648e-05,0.0045942664,0.002851963,-0.014408752,-0.013326533,-0.017463379,-0.00028947974,-0.014868564,0.022128025,-0.035940148,0.0037293695,-0.017246407,0.020706072,-0.0065644085,0.0045915246,-0.014404014,-0.005277291,-0.0001750607,-0.007697493,-0.014717855,-0.0013766028,-0.01811759
E.1,0.008155599,0.0009776242,-0.001115486,-0.011573464,0.009250299,-0.0039697867,-0.014165023,0.016818047,-0.0056484807,0.008811876,-0.03170108,-0.008690361,0.017303992,0.019162143,-0.006543517,-0.022550508,0.0068886876,1.6685575e-05,0.0021640584,0.009488074,0.004213386,0.012710305,0.0053281896,-0.008775737,-0.008266568,-0.020528395,0.014014032,-0.02069955,0.0012548566,-0.019616395,0.02253801,-0.005964458,0.0058625937,-0.013855654,-0.0036462247,0.010761462,0.0077863913,0.002960682,0.010287628,-0.010251388,-0.0018598973,-1.1734664e-06,-0.018611625,0.0006621778,0.0001742132,-0.004922867,-0.0036194162,-0.013048327,-2.6207417e-05,0.0045942664,0.0015031993,-0.014349081,-0.013356157,-0.016707748,-0.0007995479,-0.000870632,0.022895226,-0.035997577,-0.0019944198,-0.018044438,0.021787241,-0.0065636076,0.0043699443,-0.014920458,-0.0014674813,-0.00035333075,-0.012389347,-0.008688681,-0.0021445565,-0.01789601
B.2,0.008189499,0.0007528104,0.019680966,-0.012955517,0.012604718,-0.0035599452,-0.014662614,0.017007433,-0.008847462,0.008954689,-0.031715587,-0.004760989,0.017303992,0.017243074,-0.006278679,-0.021388933,0.005446255,1.6685575e-05,0.0021920726,0.0071066376,0.0035998425,0.012326503,0.0049979948,-0.008775737,0.0042591393,-0.0186168,0.0029837675,-0.02069955,0.0007055029,-0.019781038,0.022518337,-0.0059761405,0.0052616373,-0.013881224,-0.003510058,0.010830119,0.009025214,0.003759563,0.0062173456,-0.010251388,-0.00089172414,-2.2947788e-06,-0.01847379,-0.0009962767,0.00012459978,-0.004922867,-0.0036194162,-0.013048327,-2.6468188e-05,0.0045942664,0.0026802719,-0.014387742,-0.013237245,-0.017549478,-0.00026236498,-0.015000565,0.022293234,-0.03612516,0.0045576654,-0.01752847,0.021015093,-0.006563347,0.004628323,-0.014716342,-0.0068487525,-0.0001056958,-0.0051745772,-0.013508789,-0.0012465753,-0.018154388
E.2,0.00818558,0.0008901991,0.005510118,-0.011156231,0.008403727,-0.004934905,-0.014372701,0.016945817,-0.0077258814,0.008659057,-0.031690612,-0.008290816,0.017303992,0.018620016,-0.006467916,-0.021827638,0.0055349953,1.6685575e-05,0.002191078,0.009970991,0.0039357776,0.012691664,0.005143415,-0.008775737,-0.0022425652,-0.018938165,0.009158205,-0.02069955,0.0011484623,-0.019749425,0.022499464,-0.005970925,0.0058171973,-0.013866252,-0.0036555678,0.01080326,0.009055434,0.0030783713,0.011750177,-0.010251388,-0.0023571192,-1.527369e-06,-0.018643335,5.7286583e-05,0.00013612583,-0.004922867,-0.0036194162,-0.013048327,-2.6021153e-05,0.0045942664,0.0022034198,-0.014378361,-0.013286628,-0.017093003,-0.0005984078,-0.0057677366,0.022448042,-0.03607703,0.001246389,-0.01763193,0.021275327,-0.006563794,0.0045099407,-0.015018508,-0.0036096722,-0.00032534637,-0.009863108,-0.012037061,-0.0017515533,-0.018036006
C,0.008224161,-0.0006140433,0.022829175,-0.01592949,0.007867158,-0.004908262,-0.014936693,0.016767148,-0.010083066,0.009122353,-0.03161976,-0.0028536827,0.017303992,0.018335791,-0.006007172,-0.020181164,0.015791073,1.6685575e-05,0.0022421107,0.006096514,0.0033358252,0.012250567,0.0051533096,-0.008775737,0.013758272,-0.01825982,-0.0020614527,-0.02069955,-0.0003112629,-0.019976594,0.022364277,-0.0059645176,0.004293166,-0.013836715,-0.0034035891,0.010858167,-2.5959685e-05,0.0040751398,0.012069806,-0.010251388,-7.2979834e-05,-1.527369e-06,-0.018281713,-0.0010579079,4.5467168e-05,-0.004922867,-0.0036194162,-0.013048327,-2.4788082e-05,0.0045942664,0.004179254,-0.014471538,-0.01337374,-0.017553315,-5.993154e-05,-0.018166402,0.02117195,-0.035858013,0.007285919,-0.016156923,0.020155624,-0.006565027,0.0046227686,-0.013776228,-0.008111015,-0.00013622828,-0.006754905,-0.012795217,-0.0012139045,-0.018148834
D,0.0082094,-5.8081e-05,0.0125169605,-0.0121999085,0.009339579,-0.0058605503,-0.014770353,0.017117001,-0.009817349,0.008853547,-0.031651754,-0.0057636094,0.017303992,0.01745467,-0.006152941,-0.021055236,0.009367807,1.6685575e-05,0.0022283234,0.007942604,0.0035787271,0.012486758,0.0048759095,-0.008775737,0.0030917823,-0.019517887,0.0042967834,-0.02069955,0.00011972338,-0.01975824,0.022420783,-0.005985379,0.004892625,-0.0138617465,-0.00366427,0.010871131,0.005885152,0.003840074,0.01161702,-0.010251388,-0.0015261709,-3.542751e-06,-0.018519148,-0.0008720625,0.0001209937,-0.004922867,-0.0036194162,-0.013048327,-2.5339425e-05,0.0045942664,0.0032986104,-0.014390834,-0.013365574,-0.017495915,-0.00038114702,-0.015092846,0.021821233,-0.035846986,0.0058683716,-0.017337624,0.020755842,-0.0065644756,0.0045013577,-0.014329687,-0.0015161484,-0.00011173822,-0.009006381,-0.010796912,-0.0013631843,-0.018027423
C.1,0.00821754,1.8138438e-05,0.030370064,-0.014496908,0.0043797167,-0.0029754918,-0.014646694,0.016788084,-0.011876972,0.008987628,-0.031632677,-0.0043474133,0.017303992,0.018548945,-0.006296769,-0.020450577,0.011047579,1.6685575e-05,0.0022298954,0.006709071,0.0033651106,0.012064828,0.0052075945,-0.008775737,0.015602052,-0.016629979,-0.0045708306,-0.02069955,-8.992106e-05,-0.019588232,0.022396896,-0.0059699416,0.003966078,-0.013847585,-0.003286168,0.010890052,0.004242448,0.004179716,0.013455689,-0.010251388,-0.00062263897,-1.5721889e-06,-0.018456921,-0.0012825644,5.596131e-05,-0.004922867,-0.0036194162,-0.013048327,-2.5007874e-05,0.0045942664,0.0038298965,-0.014457181,-0.013341464,-0.017404512,-0.00022562419,-0.022329666,0.021480856,-0.03583441,0.008656036,-0.01651933,0.020357355,-0.006564807,0.004629761,-0.013597861,-0.009380788,-6.791018e-05,-0.0067409873,-0.015975766,-0.001350116,-0.018155826
C.2,0.008230593,-0.0002982132,0.027814388,-0.01666747,0.0034059742,-0.0030968618,-0.014716867,0.016666051,-0.011003094,0.008978263,-0.031609785,-0.002743864,0.017303992,0.019128373,-0.006224353,-0.020528406,0.011587693,1.6685575e-05,0.002238933,0.007068256,0.003416421,0.012188965,0.005365636,-0.008775737,0.017852962,-0.017420955,-0.0062276907,-0.02069955,-0.00043720007,-0.019614112,0.022366151,-0.0059618056,0.0033144988,-0.013853492,-0.0033198446,0.010873545,0.0037428718,0.004304126,0.014400065,-0.010251388,-0.00069961837,-1.2220116e-06,-0.018480048,-0.0012345565,4.5772642e-05,-0.004922867,-0.0036194162,-0.013048327,-2.4616718e-05,0.0045942664,0.0044323057,-0.014471024,-0.013427205,-0.017426088,-0.00026584975,-0.020322511,0.02080631,-0.035738327,0.0083077885,-0.016035821,0.020425722,-0.0065651983,0.004410647,-0.012959704,-0.008684382,-0.0001583714,-0.0068193823,-0.014833905,-0.0013482086,-0.017936712
B.3,0.008179285,0.0007398166,0.0067025274,-0.010854721,0.009199121,-0.0041336697,-0.014522413,0.016830541,-0.009893941,0.008853532,-0.031711973,-0.0075119925,0.017303992,0.017728874,-0.0063818786,-0.02148664,-0.00021800585,1.6685575e-05,0.002230201,0.009880057,0.0038650716,0.012152912,0.005202975,-0.008775737,-0.0010563135,-0.018660216,0.006890904,-0.02069955,0.0015445948,-0.019622087,0.022473559,-0.006006211,0.0053679496,-0.013870702,-0.0033484697,0.010767251,0.014647929,0.003293991,0.010496452,-0.010251388,-0.0028691827,-1.4808029e-06,-0.018545464,-0.0007383581,0.00016000494,-0.004922867,-0.0036194162,-0.013048327,-2.6401132e-05,0.0045942664,0.0024955869,-0.014359102,-0.013325609,-0.017572053,-0.00089917006,-0.005820876,0.022412436,-0.036045767,0.0040947013,-0.017862108,0.021047428,-0.006563414,0.0044877753,-0.014694944,-0.0038154572,-9.3692914e-05,-0.008859813,-0.011828922,-0.0012243427,-0.01801384
D.1,0.008203838,0.00039081648,0.01580412,-0.014486715,0.005575587,-0.00493042,-0.014798539,0.016829774,-0.011650192,0.009054758,-0.03164569,-0.0041979523,0.017303992,0.0183118,-0.0061425306,-0.020795092,0.004841103,1.6685575e-05,0.0022343583,0.006555615,0.003441391,0.012313122,0.005272772,-0.008775737,0.0108243525,-0.016734486,-0.0013244934,-0.02069955,-0.0009018108,-0.019693188,0.022402946,-0.005948752,0.004175447,-0.013858618,-0.0033936352,0.010863256,0.010024367,0.0038847476,0.0145239085,-0.010251388,-0.0003073602,-2.2733584e-06,-0.01843609,-0.0008083838,7.463992e-05,-0.004922867,-0.0036194162,-0.013048327,-2.5235116e-05,0.0045942664,0.003205046,-0.014434785,-0.013367124,-0.017315269,-0.000120769604,-0.013810666,0.021930596,-0.03586004,0.008778293,-0.016857326,0.0205888,-0.00656458,0.0045839027,-0.013730809,-0.0056863874,-0.00020873733,-0.007341936,-0.016542085,-0.0015061758,-0.018109968
E.3,0.008169871,0.001155246,0.01473349,-0.0106576085,0.007351526,-0.0040829163,-0.014615962,0.017002057,-0.004951345,0.008653551,-0.0316921,-0.007889364,0.017303992,0.01779023,-0.0062971655,-0.021415636,0.0024482273,1.6685575e-05,0.0021930933,0.0100570265,0.003904798,0.012625085,0.0050564967,-0.008775737,-0.0012643635,-0.019147169,0.00840291,-0.02069955,0.0014931262,-0.019759886,0.022504088,-0.005980611,0.0059364364,-0.013846709,-0.0037306398,0.01083355,0.0118080955,0.0032557845,0.011858568,-0.010251388,-0.002634996,-1.3401732e-06,-0.018632427,-0.0003717898,0.00012262538,-0.004922867,-0.0036194162,-0.013048327,-2.604723e-05,0.0045942664,0.0016963482,-0.01438906,-0.013301618,-0.017148063,-0.0006848201,-0.012499037,0.022825046,-0.03601546,-0.001385618,-0.01769508,0.020982519,-0.006563768,0.0044216514,-0.015135989,-0.0051154047,-0.00018369593,-0.007844657,-0.012091689,-0.001729589,-0.017947717
A.2,0.008137807,0.000745181,0.00766737,-0.010973662,0.009138682,-0.0041743945,-0.0144211035,0.016933441,-0.009536879,0.008548893,-0.031719774,-0.008434117,0.017303992,0.018551575,-0.006460117,-0.021523058,0.000845816,1.6685575e-05,0.0022014454,0.011633614,0.0037929686,0.012301797,0.005279448,-0.008775737,-0.0013895631,-0.019135548,0.008932527,-0.02069955,-0.0001553148,-0.019747503,0.022514835,-0.005977839,0.006042786,-0.013841226,-0.0034714043,0.010726221,0.013633696,0.0029649287,0.0094527155,-0.010251388,-0.0032730787,-1.6586855e-06,-0.018729314,-0.00015173666,0.000119220465,-0.004922867,-0.0036194162,-0.013048327,-2.6542693e-05,0.0045942664,0.0014166385,-0.014392443,-0.013297297,-0.017275184,-0.0007281867,-0.0077225436,0.022987315,-0.03612692,0.0046789907,-0.017769296,0.021059796,-0.0065632723,0.0044398233,-0.015173987,-0.0031060427,-0.000119643286,-0.008991882,-0.011288352,-0.0015560798,-0.017965889
C.3,0.008221973,-0.00134499,0.02734873,-0.01677835,0.007226833,-0.0052297544,-0.014861099,0.01701454,-0.011129515,0.009136036,-0.031594202,-0.0012856037,0.017303992,0.017693179,-0.006080365,-0.020343289,0.01789636,1.6685575e-05,0.002246322,0.0060565323,0.003336566,0.012305731,0.005011391,-0.008775737,0.017972916,-0.018769838,-0.0039151944,-0.02069955,-0.0005109459,-0.019938678,0.022330264,-0.0059610903,0.0038927868,-0.013846123,-0.0033629984,0.01087736,-0.0014500637,0.0038351864,0.01331763,-0.010251388,-6.280374e-06,-1.9050203e-06,-0.018255308,-0.00089504756,2.9485673e-05,-0.004922867,-0.0036194162,-0.013048327,-2.4352223e-05,0.0045942664,0.003975004,-0.014502708,-0.01341442,-0.017713845,-7.1413815e-06,-0.022992706,0.021185195,-0.035751708,0.008518983,-0.015764572,0.020282224,-0.006565463,0.00466758,-0.0134540945,-0.008513004,-0.00023198314,-0.0060528815,-0.01132644,-0.0010697506,-0.018193645
A.3,0.008178022,0.0015155859,0.0119608715,-0.011841476,0.006146581,-0.0063135307,-0.014543647,0.017058816,-0.008781718,0.008620046,-0.03169389,-0.0061323834,0.017303992,0.017171258,-0.0063871443,-0.021346584,0.0020256825,1.6685575e-05,0.0022143535,0.009898147,0.0037493492,0.012441011,0.004928615,-0.008775737,-0.0009536147,-0.018573567,0.008232754,-0.02069955,0.0013855696,-0.019838572,0.022482347,-0.0059904754,0.0062425435,-0.013876892,-0.003527999,0.010851387,0.011768965,0.0034978986,0.015181914,-0.010251388,-0.0026984005,-1.2340024e-06,-0.018614069,-0.000825822,0.00011822209,-0.004922867,-0.0036194162,-0.013048327,-2.6080757e-05,0.0045942664,0.0021463335,-0.014392808,-0.013223864,-0.01713857,-0.000571711,-0.011223706,0.022565631,-0.036113657,0.0031999461,-0.017562505,0.020952806,-0.0065637343,0.0044375956,-0.0153785795,-0.005535409,-0.00020226277,-0.0075024217,-0.013504185,-0.0017434768,-0.01796366
E.4,0.008196473,0.00043642893,0.013277072,-0.012365729,0.0062401528,-0.004184453,-0.014636548,0.016861632,-0.00887795,0.008862503,-0.031669162,-0.0063856808,0.017303992,0.018228257,-0.0062906574,-0.02123721,0.007921239,1.6685575e-05,0.002213303,0.008084824,0.003643007,0.012373121,0.005208548,-0.008775737,0.0053354204,-0.018179838,0.0029150136,-0.02069955,0.00021671504,-0.01968383,0.022450767,-0.005965084,0.004952252,-0.013874986,-0.0034749657,0.010844883,0.0069674235,0.0035275817,0.013240501,-0.010251388,-0.0013246327,-2.1299347e-06,-0.018554136,-0.00069561787,9.805709e-05,-0.004922867,-0.0036194162,-0.013048327,-2.5641173e-05,0.0045942664,0.0028098226,-0.014411159,-0.013333954,-0.017403193,-0.0004388471,-0.0104698,0.022177601,-0.03594572,0.0044516884,-0.01722075,0.020904198,-0.006564174,0.004595816,-0.014370635,-0.0057394207,-0.00018740632,-0.008174911,-0.013445683,-0.0014270283,-0.018121881
D.2,0.008177828,0.0009673573,0.013345759,-0.012250334,0.0067455405,-0.0052410346,-0.014680877,0.017085645,-0.00887488,0.008791685,-0.031676292,-0.006163417,0.017303992,0.017796623,-0.0062582735,-0.021260962,0.0029242337,1.6685575e-05,0.0022250563,0.008561911,0.003682646,0.012445109,0.0049169622,-0.008775737,0.003427893,-0.018948626,0.004696224,-0.02069955,0.00034528226,-0.019782558,0.022448,-0.005987793,0.005462028,-0.013882863,-0.0035782605,0.010848153,0.01138672,0.0036341548,0.013693556,-0.010251388,-0.001909548,-1.8514693e-06,-0.01855193,-0.00054334616,9.9722296e-05,-0.004922867,-0.0036194162,-0.013048327,-2.5767833e-05,0.0045942664,0.0023816675,-0.014409512,-0.013290681,-0.017083153,-0.0004212344,-0.012107814,0.022468908,-0.036011793,0.0041964315,-0.01736911,0.020921186,-0.006564047,0.004471354,-0.014775142,-0.004963115,-0.00015609898,-0.0078095496,-0.012225978,-0.0017774217,-0.01799742
E.5,0.008123867,0.0005960651,0.0037820078,-0.010277063,0.003809669,-0.0034693908,-0.013962964,0.016902015,-0.0071909595,0.00894136,-0.031675503,-0.010245416,0.017303992,0.01960534,-0.0068423375,-0.022358164,0.00762761,1.6685575e-05,0.0021921843,0.008601921,0.0040386776,0.012422437,0.00518192,-0.008775737,-0.007198125,-0.019656077,0.012501854,-0.02069955,0.0029489696,-0.019366361,0.022477478,-0.0059843957,0.0056600794,-0.013905487,-0.0034219325,0.010831021,0.0073884707,0.0034247488,0.015183225,-0.010251388,-0.0012832521,-1.2617093e-06,-0.01851432,-0.0005720332,0.00016822293,-0.004922867,-0.0036194162,-0.013048327,-2.5752932e-05,0.0045942664,0.0007210821,-0.014352351,-0.013396122,-0.017369404,-0.0009888336,0.001993429,0.02331123,-0.035858847,-0.0009432472,-0.018217895,0.021746352,-0.006564062,0.0046522096,-0.014800087,-0.008203924,-0.00028975494,-0.009029001,-0.009972908,-0.0014654063,-0.018178275
D.3,0.00817899,0.0003485419,0.014418691,-0.0121100545,0.008499027,-0.0050169956,-0.014658885,0.016941223,-0.010106342,0.008796647,-0.03168879,-0.0066563454,0.017303992,0.018076027,-0.0062378757,-0.02151893,0.0079675,1.6685575e-05,0.0022025257,0.008829748,0.0037218267,0.012435133,0.0052315407,-0.008775737,0.0032852292,-0.01851346,0.0052828453,-0.02069955,0.0011541024,-0.019972973,0.022484675,-0.0059646964,0.0058512986,-0.013877676,-0.0035772473,0.010844946,0.00686544,0.0038979203,0.0110770315,-0.010251388,-0.0017294823,-1.8305145e-06,-0.018622264,-0.0008326797,9.33297e-05,-0.004922867,-0.0036194162,-0.013048327,-2.5987625e-05,0.0045942664,0.0022848696,-0.014415786,-0.013217963,-0.017393395,-0.000490183,-0.01090887,0.022551192,-0.036133863,0.005144622,-0.017314035,0.021057382,-0.0065638274,0.0045960136,-0.015132979,-0.0067890137,-0.00014713593,-0.008635998,-0.0131770745,-0.0014602803,-0.018122079
B.4,0.008180685,0.00077657774,0.009804435,-0.011151195,0.009109938,-0.0049438756,-0.014363991,0.016882256,-0.009494739,0.00878863,-0.031698927,-0.008268144,0.017303992,0.018598842,-0.006506687,-0.021854907,0.0048919246,1.6685575e-05,0.002187606,0.008773452,0.003859573,0.012436898,0.0051787607,-0.008775737,-0.0024544,-0.019067135,0.00951286,-0.02069955,0.00019733608,-0.019682504,0.0225062,-0.005968839,0.0058440343,-0.01385508,-0.0034992397,0.0107454285,0.0097372215,0.003063202,0.011460856,-0.010251388,-0.0016671806,-1.3904646e-06,-0.01858382,-0.0003454932,0.00013340637,-0.004922867,-0.0036194162,-0.013048327,-2.6170164e-05,0.0045942664,0.002231121,-0.014380671,-0.01330597,-0.017127916,-0.00059582153,-0.009022324,0.022443699,-0.036097445,0.004393544,-0.01764806,0.021299168,-0.006563645,0.0043978095,-0.015022263,-0.0049861223,-0.0002269093,-0.009749666,-0.011574261,-0.00170381,-0.017923875
E.6,0.008161742,0.0010588355,0.0107949115,-0.011683583,0.008109101,-0.0062199365,-0.014491988,0.016914554,-0.008223491,0.0084849745,-0.03167217,-0.006634236,0.017303992,0.017614411,-0.006406378,-0.02170287,0.0017897692,1.6685575e-05,0.0021935925,0.010853821,0.0038927319,0.012471663,0.0050391667,-0.008775737,0.00027224422,-0.018968005,0.0072770305,-0.02069955,0.001391165,-0.019768536,0.022481285,-0.0059966445,0.005874701,-0.013893106,-0.0036368817,0.010859877,0.012596456,0.0034114271,0.0129356235,-0.010251388,-0.0033932268,-1.3504177e-06,-0.018650696,-0.00078371447,0.00011668727,-0.004922867,-0.0036194162,-0.013048327,-2.5697052e-05,0.0045942664,0.0015760362,-0.014394447,-0.013280608,-0.01667066,-0.0006717895,-0.01125023,0.022906994,-0.03600768,0.0025033318,-0.017693024,0.021187529,-0.006564118,0.004469186,-0.01514183,-0.004190579,-0.00012403168,-0.0072657466,-0.012846179,-0.0022035055,-0.017995251
D.4,0.0082125515,0.001057718,0.0054650865,-0.0133731365,0.012454168,-0.0071385186,-0.014574816,0.01686852,-0.009811806,0.00868468,-0.031735465,-0.0053295125,0.017303992,0.018096903,-0.006326262,-0.021594092,0.0031271912,1.6685575e-05,0.002206985,0.010169277,0.0038374262,0.012400435,0.0050624274,-0.008775737,0.006338775,-0.020104883,0.0034431182,-0.02069955,0.00032998621,-0.019732356,0.022537567,-0.0059894025,0.0053506643,-0.013867757,-0.003513813,0.01079689,0.011181382,0.0035409331,0.009838685,-0.010251388,-0.002742657,-2.5220215e-06,-0.018582806,-0.0008091442,7.368624e-05,-0.004922867,-0.0036194162,-0.013048327,-2.6825815e-05,0.0045942664,0.0032397807,-0.014436148,-0.013308682,-0.016864613,-0.0009981161,-0.006629579,0.021796325,-0.03604681,0.0053040795,-0.016846098,0.021084145,-0.006562989,0.00431633,-0.01470311,-0.004544571,-0.00017587282,-0.0075440407,-0.010267295,-0.002030637,-0.017842395
A.4,0.008200362,0.00066352263,0.014110591,-0.012899637,0.005207875,-0.0054779183,-0.0146300085,0.016980764,-0.009910511,0.008792348,-0.031687215,-0.0054690936,0.017303992,0.017815704,-0.0063063055,-0.021183625,0.0047691185,1.6685575e-05,0.0022145547,0.008356938,0.0035886755,0.01237526,0.005051207,-0.008775737,0.0035458803,-0.01795984,0.0041125007,-0.02069955,0.0006130487,-0.0197746,0.022466265,-0.0059749484,0.0052936077,-0.013881792,-0.0034977496,0.01086726,0.009864001,0.0036363453,0.015406266,-0.010251388,-0.0016064285,-1.9231811e-06,-0.018566534,-0.0009182985,0.00010891631,-0.004922867,-0.0036194162,-0.013048327,-2.5961548e-05,0.0045942664,0.0028004795,-0.014401011,-0.013312049,-0.017381549,-0.0004260093,-0.012689136,0.022140572,-0.035942443,0.005409535,-0.017341685,0.020869657,-0.0065638535,0.0045567006,-0.014673635,-0.005411342,-0.00016676076,-0.008524731,-0.013556145,-0.0014729165,-0.018082766
A.5,0.0081651285,0.00050612167,0.02537977,-0.013895974,0.007235759,-0.0056030285,-0.0147157125,0.017034829,-0.01060033,0.008874677,-0.031688064,-0.004091921,0.017303992,0.01746528,-0.0062237848,-0.020853639,0.006916946,1.6685575e-05,0.0022163838,0.007861273,0.0035577705,0.0122582335,0.004943516,-0.008775737,0.0054623187,-0.017453302,0.0028213821,-0.02069955,0.0004009232,-0.019884914,0.02246254,-0.005991012,0.0055786446,-0.013855004,-0.0034114271,0.010886658,0.007805137,0.0038226396,0.013511047,-0.010251388,-0.0014313846,-1.6950362e-06,-0.018506393,-0.0008151359,0.00010249764,-0.004922867,-0.0036194162,-0.013048327,-2.597645e-05,0.0045942664,0.0020779818,-0.014407381,-0.013168223,-0.017599046,-0.0003616116,-0.021407386,0.022657381,-0.036113776,0.0064878576,-0.017460383,0.020600751,-0.0065638386,0.0046110116,-0.014985964,-0.008078396,-0.00013605691,-0.0067687184,-0.014849268,-0.0011938922,-0.018137077
