"interaction_name","ligand_type","interaction_type","lig_contributor","receptor_subunit","lig_contributor_group","lig_contributor_coeff","receptor_subunit_group","receptor_subunit_coeff"
"Gly_Glra3","Neurotransmitter","ligand-receptor","Shmt1;Shmt2;Slc32a1","Glra3","1;1;2","1;1","1","1"
"Gly_Glra4","Neurotransmitter","ligand-receptor","Shmt1;Shmt2;Slc32a1","Glra4","1;1;2","1;1","1","1"
"Gly_Glrb","Neurotransmitter","ligand-receptor","Shmt1;Shmt2;Slc32a1","Glrb","1;1;2","1;1","1","1"
"Gly_Slc6a9","Neurotransmitter","ligand uptake","Shmt1;Shmt2;Slc32a1","Slc6a9","1;1;2","1;1","1","1"
"Gly_Slc6a5","Neurotransmitter","ligand uptake","Shmt1;Shmt2;Slc32a1","Slc6a5","1;1;2","1;1","1","1"
"5HT_Htr1a","Neurotransmitter","ligand-receptor","Tph1;Tph2;Ddc;Slc18a1;Slc18a2","Htr1a","1;1;2;3;3","1;1;1","1","1"
"5HT_Htr1b","Neurotransmitter","ligand-receptor","Tph1;Tph2;Ddc;Slc18a1;Slc18a2","Htr1b","1;1;2;3;3","1;1;1","1","1"
"5HT_Htr1d","Neurotransmitter","ligand-receptor","Tph1;Tph2;Ddc;Slc18a1;Slc18a2","Htr1d","1;1;2;3;3","1;1;1","1","1"
"5HT_Htr1e","Neurotransmitter","ligand-receptor","Tph1;Tph2;Ddc;Slc18a1;Slc18a2","Htr1e","1;1;2;3;3","1;1;1","1","1"
"5HT_Htr1f","Neurotransmitter","ligand-receptor","Tph1;Tph2;Ddc;Slc18a1;Slc18a2","Htr1f","1;1;2;3;3","1;1;1","1","1"
"5HT_Htr2a","Neurotransmitter","ligand-receptor","Tph1;Tph2;Ddc;Slc18a1;Slc18a2","Htr2a","1;1;2;3;3","1;1;1","1","1"
"5HT_Htr2b","Neurotransmitter","ligand-receptor","Tph1;Tph2;Ddc;Slc18a1;Slc18a2","Htr2b","1;1;2;3;3","1;1;1","1","1"
"5HT_Htr2c","Neurotransmitter","ligand-receptor","Tph1;Tph2;Ddc;Slc18a1;Slc18a2","Htr2c","1;1;2;3;3","1;1;1","1","1"
"5HT_Htr3a","Neurotransmitter","ligand-receptor","Tph1;Tph2;Ddc;Slc18a1;Slc18a2","Htr3a","1;1;2;3;3","1;1;1","1","1"
"5HT_Htr3b","Neurotransmitter","ligand-receptor","Tph1;Tph2;Ddc;Slc18a1;Slc18a2","Htr3b","1;1;2;3;3","1;1;1","1","1"
"5HT_Htr4","Neurotransmitter","ligand-receptor","Tph1;Tph2;Ddc;Slc18a1;Slc18a2","Htr4","1;1;2;3;3","1;1;1","1","1"
"5HT_Htr5a","Neurotransmitter","ligand-receptor","Tph1;Tph2;Ddc;Slc18a1;Slc18a2","Htr5a","1;1;2;3;3","1;1;1","1","1"
"5HT_Htr6","Neurotransmitter","ligand-receptor","Tph1;Tph2;Ddc;Slc18a1;Slc18a2","Htr6","1;1;2;3;3","1;1;1","1","1"
"5HT_Htr7","Neurotransmitter","ligand-receptor","Tph1;Tph2;Ddc;Slc18a1;Slc18a2","Htr7","1;1;2;3;3","1;1;1","1","1"
"5HT_Slc6a4","Neurotransmitter","ligand uptake","Tph1;Tph2;Ddc;Slc18a1;Slc18a2","Slc6a4","1;1;2;3;3","1;1;1","1","1"
"DA_Drd1","Neurotransmitter","ligand-receptor","Th;Ddc;Slc18a1;Slc18a2","Drd1","1;2;3;3","1;1;1","1","1"
"DA_Drd5","Neurotransmitter","ligand-receptor","Th;Ddc;Slc18a1;Slc18a2","Drd5","1;2;3;3","1;1;1","1","1"
"DA_Drd2","Neurotransmitter","ligand-receptor","Th;Ddc;Slc18a1;Slc18a2","Drd2","1;2;3;3","1;1;1","1","1"
"DA_Drd3","Neurotransmitter","ligand-receptor","Th;Ddc;Slc18a1;Slc18a2","Drd3","1;2;3;3","1;1;1","1","1"
"DA_Drd4","Neurotransmitter","ligand-receptor","Th;Ddc;Slc18a1;Slc18a2","Drd4","1;2;3;3","1;1;1","1","1"
"DA_Slc6a3","Neurotransmitter","ligand uptake","Th;Ddc;Slc18a1;Slc18a2","Slc6a3","1;2;3;3","1;1;1","1","1"
"DA_Comt","Neurotransmitter","ligand degradation","Th;Ddc;Slc18a1;Slc18a2","Comt","1;2;3;3","1;1;1","1","1"
"Epi_Adra1a","Neurotransmitter","ligand-receptor","Th;Ddc;Dbh;Pnmt;Slc18a1;Slc18a2","Adra1a","1;2;3;4;5;5","1;1;1;1;1","1","1"
"Epi_Adra1b","Neurotransmitter","ligand-receptor","Th;Ddc;Dbh;Pnmt;Slc18a1;Slc18a2","Adra1b","1;2;3;4;5;5","1;1;1;1;1","1","1"
"Epi_Adra1d","Neurotransmitter","ligand-receptor","Th;Ddc;Dbh;Pnmt;Slc18a1;Slc18a2","Adra1d","1;2;3;4;5;5","1;1;1;1;1","1","1"
"Epi_Adra2a","Neurotransmitter","ligand-receptor","Th;Ddc;Dbh;Pnmt;Slc18a1;Slc18a2","Adra2a","1;2;3;4;5;5","1;1;1;1;1","1","1"
"Epi_Adra2b","Neurotransmitter","ligand-receptor","Th;Ddc;Dbh;Pnmt;Slc18a1;Slc18a2","Adra2b","1;2;3;4;5;5","1;1;1;1;1","1","1"
"Epi_Adra2c","Neurotransmitter","ligand-receptor","Th;Ddc;Dbh;Pnmt;Slc18a1;Slc18a2","Adra2c","1;2;3;4;5;5","1;1;1;1;1","1","1"
