,metab_num,HMDB_ID,PubChem,KEGG,SMILES
107,2282,HMDB0001338,644109,C00154,CCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N
108,2284,HMDB0004667,6443013,C14762,CCCCC[C@H](O)\C=C\C=C/CCCCCCCC(O)=O
109,2286,HMDB0010351,1864,C05643,[H][C@@]12CCC(=O)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@@H](CC[C@]12C)O[C@@H]1O[C@@H]([C@@H](O)[C@H](O)[C@H]1O)C(O)=O
110,2287,HMDB0000157,790,C00262,OC1=NC=NC2=C1NC=N2
111,2288,HMDB0001335,5282411,C01312,CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)C[C@@H]2OC(C[C@H]12)=CCCCC(O)=O
112,2289,HMDB0000054,5280352,C00486,CC1=C(C=C)\C(NC1=O)=C\C1=C(C)C(CCC(O)=O)=C(CC2=C(CCC(O)=O)C(C)=C(N2)\C=C2/NC(=O)C(C=C)=C2C)N1
113,2290,HMDB0002710,5280884,C05957,CCCCC[C@H](O)\C=C\[C@@H]1[C@@H](C\C=C/CCCC(O)=O)C=CC1=O
114,2291,HMDB0002350,8221,D01924,CCCCCCCCCCCCCCCCCCO
115,2293,HMDB0000133,6802,C00387,NC1=NC2=C(N=CN2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C(=O)N1
116,2294,HMDB0000296,6029,C00299,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(=O)NC1=O
117,2295,HMDB0000097,305,C00114,C[N+](C)(C)CCO
118,2296,HMDB0000626,222528,C04483,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@H](O)[C@]12C)[C@H](C)CCC(O)=O
119,2297,HMDB0007851,56947016,C00416,CCCCCCCC\C=C/CCCCCCCC(=O)OC(CO)COP(O)(O)=O
120,2298,HMDB0003352,16666,C00400,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O
121,2299,HMDB0002200,5280879,C05952,CCCCC\C=C/C\C=C/C=C/C=C/[C@@H](SC[C@H](N)C(O)=O)[C@@H](O)CCCC(O)=O
122,2300,HMDB0000237,1032,C00163,CCC(O)=O
123,2301,HMDB0000042,176,C00033,CC(O)=O
124,2302,HMDB0000892,7991,C00803,CCCCC(O)=O
125,2303,HMDB0000535,8892,C01585,CCCCCC(O)=O
126,2304,HMDB0000673,5280450,C01595,CCCCC\C=C/C\C=C/CCCCCCCC(O)=O
127,2305,HMDB0001388,5280934,C06427,CC\C=C/C\C=C/C\C=C/CCCCCCCC(O)=O
128,2306,HMDB0001032,12594,C04555,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@H](CC[C@]12C)OS(O)(=O)=O
129,2307,HMDB0001314,24316,C00942,NC1=NC2=C(N=CN2[C@@H]2O[C@@H]3COP(O)(=O)O[C@H]3[C@H]2O)C(=O)N1
130,2308,HMDB0000253,8955,C01953,[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@@H](O)CC[C@]12C
131,2309,HMDB0000252,5280335,C00319,CCCCCCCCCCCCC\C=C\[C@@H](O)[C@@H](N)CO
132,2310,HMDB0000269,91486,C00836,CCCCCCCCCCCCCCC[C@@H](O)[C@@H](N)CO
133,2311,HMDB0000187,5951,C00065,N[C@@H](CO)C(O)=O
134,2312,HMDB0003069,8956,C04042,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CCC4=CC(=O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)O
135,2313,HMDB0000944,8215,C08281,CCCCCCCCCCCCCCCCCCCCCC(O)=O
136,2314,HMDB0002212,10467,C06425,CCCCCCCCCCCCCCCCCCCC(O)=O
137,2315,HMDB0000806,11005,C06424,CCCCCCCCCCCCCC(O)=O
138,2316,HMDB0000641,5961,C00064,N[C@@H](CCC(N)=O)C(O)=O
