"Ligand","Receptor","Annotation","Reference"
"Cd209c","Ceacam2","Secreted Signaling","NicheNet_v2_omnipath"
"Cd209d","Ceacam1","Secreted Signaling","NicheNet_v2_omnipath"
"Cd209d","Ceacam2","Secreted Signaling","NicheNet_v2_omnipath"
"Cd209e","Ceacam1","Secreted Signaling","NicheNet_v2_omnipath"
"Cd209e","Ceacam2","Secreted Signaling","NicheNet_v2_omnipath"
"Cd22","Igsf21","Secreted Signaling","NicheNet_v2_omnipath"
"Cd22","Ptprc","Secreted Signaling","NicheNet_v2_omnipath"
"Cd226","Mcam","Secreted Signaling","NicheNet_v2_nichenet_verschueren"
"Cd226","Nectin2","Secreted Signaling","NicheNet_v2_omnipath"
"Cd226","Pvr","Secreted Signaling","NicheNet_v2_omnipath"
"Cd244a","Cd79b","Secreted Signaling","NicheNet_v2_nichenet_verschueren"
"Cd244a","Csf3r","Secreted Signaling","NicheNet_v2_nichenet_verschueren"
"Cd244a","Iyd","Secreted Signaling","NicheNet_v2_omnipath"
"Cd244a","Lat","Secreted Signaling","NicheNet_v2_omnipath"
"Cd244a","Muc15","Secreted Signaling","NicheNet_v2_omnipath"
"Cd24a","Selp","Secreted Signaling","NicheNet_v2_nichenet_verschueren"
"Cd274","Cd80","Secreted Signaling","NicheNet_v2_omnipath"
"Cd274","Epha3","Secreted Signaling","NicheNet_v2_nichenet_verschueren"
"Cd274","Pdcd1","Secreted Signaling","NicheNet_v2_omnipath"
"Cd28","Cd247","Secreted Signaling","NicheNet_v2_omnipath"
"Cd28","Cd4","Secreted Signaling","NicheNet_v2_omnipath"
"Cd28","Cd80","Secreted Signaling","NicheNet_v2_omnipath"
"Cd28","Cd86","Secreted Signaling","NicheNet_v2_omnipath"
"Cd28","Tmem95","Secreted Signaling","NicheNet_v2_omnipath"
"Cd300a","Igsf5","Secreted Signaling","NicheNet_v2_nichenet_verschueren"
"Cd300c","Igsf5","Secreted Signaling","NicheNet_v2_nichenet_verschueren"
"Cd300c","Ntng1","Secreted Signaling","NicheNet_v2_nichenet_verschueren"
"Cd300c","Ptpro","Secreted Signaling","NicheNet_v2_nichenet_verschueren"
"Cd300c2","Igsf5","Secreted Signaling","NicheNet_v2_nichenet_verschueren"
"Cd300c2","Ntng1","Secreted Signaling","NicheNet_v2_nichenet_verschueren"
"Cd300c2","Ptpro","Secreted Signaling","NicheNet_v2_nichenet_verschueren"
"Cd300ld2","Flt1","Secreted Signaling","NicheNet_v2_nichenet_verschueren"
"Cd300ld2","Igsf5","Secreted Signaling","NicheNet_v2_nichenet_verschueren"
"Cd300ld3","Flt1","Secreted Signaling","NicheNet_v2_nichenet_verschueren"
"Cd300ld3","Igsf5","Secreted Signaling","NicheNet_v2_nichenet_verschueren"
"Cd300ld4","Flt1","Secreted Signaling","NicheNet_v2_nichenet_verschueren"
"Cd300ld4","Igsf5","Secreted Signaling","NicheNet_v2_nichenet_verschueren"
"Cd300ld5","Flt1","Secreted Signaling","NicheNet_v2_nichenet_verschueren"
"Cd300ld5","Igsf5","Secreted Signaling","NicheNet_v2_nichenet_verschueren"
"Cd300lf","Flt1","Secreted Signaling","NicheNet_v2_nichenet_verschueren"
"Cd300lf","Igsf5","Secreted Signaling","NicheNet_v2_nichenet_verschueren"
"Cd320","Igsf5","Secreted Signaling","NicheNet_v2_omnipath"
"Cd320","Jaml","Secreted Signaling","NicheNet_v2_omnipath"
"Cd320","Lrpap1","Secreted Signaling","NicheNet_v2_nichenet_verschueren"
"Cd320","Ror2","Secreted Signaling","NicheNet_v2_nichenet_verschueren"
"Cd320","Siglece","Secreted Signaling","NicheNet_v2_nichenet_verschueren"
"Cd320","Tmem167","Secreted Signaling","NicheNet_v2_omnipath"
"Cd33","Cd4","Secreted Signaling","NicheNet_v2_nichenet_verschueren"
"Cd33","Kir3dl2","Secreted Signaling","NicheNet_v2_omnipath"
"Cd33","Kir3dl1","Secreted Signaling","NicheNet_v2_omnipath"
"Cd33","Ncr1","Secreted Signaling","NicheNet_v2_omnipath"
"Cd34","Nectin3","Secreted Signaling","NicheNet_v2_omnipath"
"Cd34","Nectin4","Secreted Signaling","NicheNet_v2_omnipath"
"Cd34","Sele","Secreted Signaling","NicheNet_v2_omnipath"
"Cd34","Sell","Secreted Signaling","NicheNet_v2_omnipath"
"Cd34","Selp","Secreted Signaling","NicheNet_v2_omnipath"
"Cd38","Pecam1","Secreted Signaling","NicheNet_v2_omnipath"
"Cd40","Cd40lg","Secreted Signaling","NicheNet_v2_nichenet_verschueren"
"Cd40lg","Cd40","Secreted Signaling","NicheNet_v2_omnipath"
"Cd40lg","Itga2b","Secreted Signaling","NicheNet_v2_omnipath"
"Cd40lg","Itga5","Secreted Signaling","NicheNet_v2_omnipath"
"Cd40lg","Itgam","Secreted Signaling","NicheNet_v2_omnipath"
"Cd40lg","Gm49368","Secreted Signaling","NicheNet_v2_omnipath"
"Cd40lg","Itgb1","Secreted Signaling","NicheNet_v2_omnipath"
"Cd40lg","Itgb2","Secreted Signaling","NicheNet_v2_omnipath"
"Cd40lg","Itgb2l","Secreted Signaling","NicheNet_v2_omnipath"
"Cd40lg","Itgb3","Secreted Signaling","NicheNet_v2_omnipath"
"Cd44","Acvr2b","Secreted Signaling","NicheNet_v2_omnipath"
"Cd44","Cldn7","Secreted Signaling","NicheNet_v2_omnipath"
"Cd44","Epcam","Secreted Signaling","NicheNet_v2_omnipath"
"Cd44","Has2","Secreted Signaling","NicheNet_v2_omnipath"
"Cd44","Sele","Secreted Signaling","NicheNet_v2_omnipath"
"Cd47","Pcsk4","Secreted Signaling","NicheNet_v2_omnipath"
"Cd47","Scn1b","Secreted Signaling","NicheNet_v2_omnipath"
"Cd47","Siglec1","Secreted Signaling","NicheNet_v2_omnipath"
"Cd47","Sirpa","Secreted Signaling","NicheNet_v2_omnipath"
"Cd47","Gm9733","Secreted Signaling","NicheNet_v2_omnipath"
"Cd47","Sirpb1a","Secreted Signaling","NicheNet_v2_omnipath"
"Cd47","Sirpb1c","Secreted Signaling","NicheNet_v2_omnipath"
"Cd47","Gm5150","Secreted Signaling","NicheNet_v2_omnipath"
"Cd47","Sirpb1b","Secreted Signaling","NicheNet_v2_omnipath"
"Cd48","Cd2","Secreted Signaling","NicheNet_v2_omnipath"
"Cd48","Cd244a","Secreted Signaling","NicheNet_v2_omnipath"
"Cd48","Pdcd1","Secreted Signaling","NicheNet_v2_omnipath"
"Cd52","Siglecg","Secreted Signaling","NicheNet_v2_omnipath"
"Cd55","Adgre5","Secreted Signaling","NicheNet_v2_omnipath"
"Cd55","Cr1l","Secreted Signaling","NicheNet_v2_omnipath"
"Cd55b","Adgre5","Secreted Signaling","NicheNet_v2_omnipath"
"Cd55b","Cr1l","Secreted Signaling","NicheNet_v2_omnipath"
"Cd59a","Cd2","Secreted Signaling","NicheNet_v2_omnipath"
"Cd59a","Siglec1","Secreted Signaling","NicheNet_v2_omnipath"
"Cd59a","Stab1","Secreted Signaling","NicheNet_v2_omnipath"
"Cd59b","Cd2","Secreted Signaling","NicheNet_v2_omnipath"
"Cd59b","Siglec1","Secreted Signaling","NicheNet_v2_omnipath"
"Cd59b","Stab1","Secreted Signaling","NicheNet_v2_omnipath"
"Cd5l","Cd5","Secreted Signaling","NicheNet_v2_omnipath"
"Cd6","Alcam","Secreted Signaling","NicheNet_v2_omnipath"
"Cd6","Dag1","Secreted Signaling","NicheNet_v2_omnipath"
"Cd6","Siglecf","Secreted Signaling","NicheNet_v2_omnipath"
"Cd6","Siglece","Secreted Signaling","NicheNet_v2_omnipath"
"Cd7","Adam15","Secreted Signaling","NicheNet_v2_omnipath"
"Cd70","Cd27","Secreted Signaling","NicheNet_v2_omnipath"
"Cd72","Cd5","Secreted Signaling","NicheNet_v2_omnipath"
"Cd72","Ncam2","Secreted Signaling","NicheNet_v2_omnipath"
"Cd72","Sema4d","Secreted Signaling","NicheNet_v2_omnipath"
"Cd79b","Cd244a","Secreted Signaling","NicheNet_v2_nichenet_verschueren"
"Cd79b","Igsf21","Secreted Signaling","NicheNet_v2_nichenet_verschueren"
"Cd79b","Kremen1","Secreted Signaling","NicheNet_v2_nichenet_verschueren"
"Cd79b","Ntm","Secreted Signaling","NicheNet_v2_nichenet_verschueren"
"Cd80","Cd274","Secreted Signaling","NicheNet_v2_nichenet_verschueren"
"Cd80","Cd28","Secreted Signaling","NicheNet_v2_omnipath"
"Cd80","Ctla4","Secreted Signaling","NicheNet_v2_omnipath"
"Cd80","Ngfr","Secreted Signaling","NicheNet_v2_omnipath"
"Cd82","Cd37","Secreted Signaling","NicheNet_v2_omnipath"
"Cd82","Itgb2","Secreted Signaling","NicheNet_v2_omnipath"
"Cd82","Itgb2l","Secreted Signaling","NicheNet_v2_omnipath"
"Cd86","Cd28","Secreted Signaling","NicheNet_v2_omnipath"
"Cd86","Ctla4","Secreted Signaling","NicheNet_v2_omnipath"
"Cd9","Adam2","Secreted Signaling","NicheNet_v2_omnipath"
"Cd9","Cd36","Secreted Signaling","NicheNet_v2_omnipath"
"Cd9","Cldn1","Secreted Signaling","NicheNet_v2_omnipath"
"Cd9","Igsf8","Secreted Signaling","NicheNet_v2_omnipath"
"Cd9","Kit","Secreted Signaling","NicheNet_v2_omnipath"
"Cd96","Nectin1","Secreted Signaling","NicheNet_v2_omnipath"
"Cd96","Nectin2","Secreted Signaling","NicheNet_v2_omnipath"
"Cd96","Pvr","Secreted Signaling","NicheNet_v2_omnipath"
"Cd99","Cd99","Secreted Signaling","NicheNet_v2_nichenet_verschueren"
"Cdcp1","Egfr","Secreted Signaling","NicheNet_v2_omnipath"
"Cdh1","Cdh1","Secreted Signaling","NicheNet_v2_nichenet_verschueren"
"Cdh1","Egfr","Secreted Signaling","NicheNet_v2_omnipath"
"Cdh1","Igf1r","Secreted Signaling","NicheNet_v2_omnipath"
"Cdh1","Itgae","Secreted Signaling","NicheNet_v2_omnipath"
"Cdh1","Itgb7","Secreted Signaling","NicheNet_v2_omnipath"
"Cdh1","Klrg1","Secreted Signaling","NicheNet_v2_omnipath"
"Cdh1","Ptprf","Secreted Signaling","NicheNet_v2_omnipath"
"Cdh1","Ptprm","Secreted Signaling","NicheNet_v2_omnipath"
"Cdh13","Ncam2","Secreted Signaling","NicheNet_v2_nichenet_verschueren"
"Cdh15","Cdh15","Secreted Signaling","NicheNet_v2_nichenet_verschueren"
"Cdh15","Cdon","Secreted Signaling","NicheNet_v2_omnipath"
"Cdh2","Cdh2","Secreted Signaling","NicheNet_v2_nichenet_verschueren"
"Cdh2","Cdon","Secreted Signaling","NicheNet_v2_omnipath"
"Cdh3","Cdh3","Secreted Signaling","NicheNet_v2_nichenet_verschueren"
"Cdh4","Cdh4","Secreted Signaling","NicheNet_v2_nichenet_verschueren"
"Cdh5","Cdh5","Secreted Signaling","NicheNet_v2_nichenet_verschueren"
"Cdh6","Cntn1","Secreted Signaling","NicheNet_v2_omnipath"
"Cdh6","Ptgfrn","Secreted Signaling","NicheNet_v2_omnipath"
"Cdh9","Gm36028","Secreted Signaling","NicheNet_v2_omnipath"
"Cdhr2","Cd3d","Secreted Signaling","NicheNet_v2_nichenet_verschueren"
"Cdhr2","Kirrel","Secreted Signaling","NicheNet_v2_omnipath"
"Cdhr2","Unc5a","Secreted Signaling","NicheNet_v2_omnipath"
"Ceacam1","Cd209e","Secreted Signaling","NicheNet_v2_omnipath"
"Ceacam1","Cd209c","Secreted Signaling","NicheNet_v2_omnipath"
"Ceacam1","Cd209b","Secreted Signaling","NicheNet_v2_omnipath"
"Ceacam1","Cd209a","Secreted Signaling","NicheNet_v2_omnipath"
"Ceacam1","Cd209d","Secreted Signaling","NicheNet_v2_omnipath"
"Ceacam1","Egfr","Secreted Signaling","NicheNet_v2_omnipath"
"Ceacam1","Havcr2","Secreted Signaling","NicheNet_v2_omnipath"
"Ceacam1","Sele","Secreted Signaling","NicheNet_v2_omnipath"
"Ceacam10","Lilra6","Secreted Signaling","NicheNet_v2_omnipath"
"Ceacam11","Lilra6","Secreted Signaling","NicheNet_v2_omnipath"
"Ceacam12","Lilra6","Secreted Signaling","NicheNet_v2_omnipath"
"Ceacam13","Lilra6","Secreted Signaling","NicheNet_v2_omnipath"
"Ceacam14","Lilra6","Secreted Signaling","NicheNet_v2_omnipath"
"Ceacam15","Lilra6","Secreted Signaling","NicheNet_v2_omnipath"
"Ceacam2","Cd209e","Secreted Signaling","NicheNet_v2_omnipath"
"Ceacam2","Cd209c","Secreted Signaling","NicheNet_v2_omnipath"
"Ceacam2","Cd209b","Secreted Signaling","NicheNet_v2_omnipath"
"Ceacam2","Cd209a","Secreted Signaling","NicheNet_v2_omnipath"
"Ceacam2","Cd209d","Secreted Signaling","NicheNet_v2_omnipath"
"Ceacam2","Egfr","Secreted Signaling","NicheNet_v2_omnipath"
"Ceacam2","Havcr2","Secreted Signaling","NicheNet_v2_omnipath"
"Ceacam2","Sele","Secreted Signaling","NicheNet_v2_omnipath"
"Ceacam20","Vsig8","Secreted Signaling","NicheNet_v2_omnipath"
"Ceacam3","Lilra6","Secreted Signaling","NicheNet_v2_omnipath"
"Ceacam5","Lilra6","Secreted Signaling","NicheNet_v2_omnipath"
"Ceacam9","Lilra6","Secreted Signaling","NicheNet_v2_omnipath"
"Cel","Cxcr4","Secreted Signaling","NicheNet_v2_omnipath"
"Cer1","Mrc2","Secreted Signaling","NicheNet_v2_omnipath"
"Cfap54","Cadm3","Secreted Signaling","NicheNet_v2_nichenet_verschueren"
"Cfc1","Acvr1b","Secreted Signaling","NicheNet_v2_omnipath"
"Cfc1","Acvr2a","Secreted Signaling","NicheNet_v2_omnipath"
"Cfd","Cfb","Secreted Signaling","NicheNet_v2_omnipath"
"Cfh","Cfb","Secreted Signaling","NicheNet_v2_omnipath"
"Cfh","Itgam","Secreted Signaling","NicheNet_v2_omnipath"
"Cfh","Gm49368","Secreted Signaling","NicheNet_v2_omnipath"
"Cfh","Sell","Secreted Signaling","NicheNet_v2_omnipath"
"Cfp","Ncr1","Secreted Signaling","NicheNet_v2_omnipath"
"Cga","Adcyap1r1","Secreted Signaling","NicheNet_v2_omnipath"
"Cga","Adrb2","Secreted Signaling","NicheNet_v2_omnipath"
"Cga","Adrb3","Secreted Signaling","NicheNet_v2_omnipath"
"Cga","Fshr","Secreted Signaling","NicheNet_v2_omnipath"
"Cga","Gpr20","Secreted Signaling","NicheNet_v2_omnipath"
"Cga","Gpr84","Secreted Signaling","NicheNet_v2_omnipath"
"Cga","Lhcgr","Secreted Signaling","NicheNet_v2_omnipath"
"Cga","Pth1r","Secreted Signaling","NicheNet_v2_omnipath"
"Cga","Ramp2","Secreted Signaling","NicheNet_v2_omnipath"
"Cga","Ramp3","Secreted Signaling","NicheNet_v2_omnipath"
"Cga","Tshr","Secreted Signaling","NicheNet_v2_omnipath"
"Cga","Vipr1","Secreted Signaling","NicheNet_v2_omnipath"
"Chad","Itga2","Secreted Signaling","NicheNet_v2_omnipath"
"Chad","Itgb1","Secreted Signaling","NicheNet_v2_omnipath"
"Chl1","Cntn1","Secreted Signaling","NicheNet_v2_nichenet_verschueren"
"Chl1","Cntn5","Secreted Signaling","NicheNet_v2_nichenet_verschueren"
"Chl1","Sirpa","Secreted Signaling","NicheNet_v2_omnipath"
"Chl1","Tmem132a","Secreted Signaling","NicheNet_v2_omnipath"
"Cib1","Itga2b","Secreted Signaling","NicheNet_v2_omnipath"
"Cib1","Itgb3","Secreted Signaling","NicheNet_v2_omnipath"
"Cklf","Ccr4","Secreted Signaling","NicheNet_v2_omnipath"
"Cklf","Lrp6","Secreted Signaling","NicheNet_v2_omnipath"
"Clcf1","Cntfr","Secreted Signaling","NicheNet_v2_omnipath"
"Clcf1","Crlf1","Secreted Signaling","NicheNet_v2_omnipath"
"Clcf1","Il6st","Secreted Signaling","NicheNet_v2_omnipath"
"Clcf1","Lifr","Secreted Signaling","NicheNet_v2_omnipath"
"Clcf1","Sorl1","Secreted Signaling","NicheNet_v2_omnipath"
"Cldn1","Cldn2","Secreted Signaling","NicheNet_v2_omnipath"
"Cldn1","Mmp2","Secreted Signaling","NicheNet_v2_omnipath"
"Cldn11","Cldn11","Secreted Signaling","NicheNet_v2_nichenet_verschueren"
"Cldn14","Cldn16","Secreted Signaling","NicheNet_v2_omnipath"
"Cldn16","Cldn19","Secreted Signaling","NicheNet_v2_omnipath"
"Cldn19","Cldn6","Secreted Signaling","NicheNet_v2_omnipath"
"Cldn19","Cldn7","Secreted Signaling","NicheNet_v2_omnipath"
"Cldn19","Cldn8","Secreted Signaling","NicheNet_v2_omnipath"
"Cldn19","Cldn9","Secreted Signaling","NicheNet_v2_omnipath"
"Cldn2","Cldn3","Secreted Signaling","NicheNet_v2_omnipath"
"Cldn24","Cldn24","Secreted Signaling","NicheNet_v2_nichenet_verschueren"
"Cldn3","Cldn1","Secreted Signaling","NicheNet_v2_omnipath"
"Clec11a","Itga10","Secreted Signaling","NicheNet_v2_omnipath"
"Clec11a","Itga11","Secreted Signaling","NicheNet_v2_omnipath"
"Clec11a","Itgb1","Secreted Signaling","NicheNet_v2_omnipath"
"Clec11a","Kit","Secreted Signaling","NicheNet_v2_omnipath"
"Clec2d","Klrb1","Secreted Signaling","NicheNet_v2_omnipath"
"Clec2d","Klrb1a","Secreted Signaling","NicheNet_v2_omnipath"
"Clec2d","Klrb1c","Secreted Signaling","NicheNet_v2_omnipath"
"Clec2d","Klrb1b","Secreted Signaling","NicheNet_v2_omnipath"
"Clec2d","Klrb1f","Secreted Signaling","NicheNet_v2_omnipath"
"Clec2e","Klrb1","Secreted Signaling","NicheNet_v2_omnipath"
"Clec2e","Klrb1a","Secreted Signaling","NicheNet_v2_omnipath"
"Clec2e","Klrb1c","Secreted Signaling","NicheNet_v2_omnipath"
"Clec2e","Klrb1b","Secreted Signaling","NicheNet_v2_omnipath"
"Clec2e","Klrb1f","Secreted Signaling","NicheNet_v2_omnipath"
"Clec2f","Klrb1","Secreted Signaling","NicheNet_v2_omnipath"
"Clec2f","Klrb1a","Secreted Signaling","NicheNet_v2_omnipath"
"Clec2f","Klrb1c","Secreted Signaling","NicheNet_v2_omnipath"
"Clec2f","Klrb1b","Secreted Signaling","NicheNet_v2_omnipath"
"Clec2f","Klrb1f","Secreted Signaling","NicheNet_v2_omnipath"
"Clec2g","Klrb1","Secreted Signaling","NicheNet_v2_omnipath"
"Clec2g","Klrb1a","Secreted Signaling","NicheNet_v2_omnipath"
"Clec2g","Klrb1c","Secreted Signaling","NicheNet_v2_omnipath"
"Clec2g","Klrb1b","Secreted Signaling","NicheNet_v2_omnipath"
"Clec2g","Klrb1f","Secreted Signaling","NicheNet_v2_omnipath"
"Clec2h","Klrb1","Secreted Signaling","NicheNet_v2_omnipath"
"Clec2h","Klrb1a","Secreted Signaling","NicheNet_v2_omnipath"
"Clec2h","Klrb1c","Secreted Signaling","NicheNet_v2_omnipath"
"Clec2h","Klrb1b","Secreted Signaling","NicheNet_v2_omnipath"
"Clec2h","Klrb1f","Secreted Signaling","NicheNet_v2_omnipath"
"Clec2i","Klrb1","Secreted Signaling","NicheNet_v2_omnipath"
"Clec2i","Klrb1a","Secreted Signaling","NicheNet_v2_omnipath"
"Clec2i","Klrb1c","Secreted Signaling","NicheNet_v2_omnipath"
"Clec2i","Klrb1b","Secreted Signaling","NicheNet_v2_omnipath"
"Clec2i","Klrb1f","Secreted Signaling","NicheNet_v2_omnipath"
"Clec2l","Igsf11","Secreted Signaling","NicheNet_v2_nichenet_verschueren"
"Clec2l","Klrb1","Secreted Signaling","NicheNet_v2_omnipath"
"Clec2l","Klrb1a","Secreted Signaling","NicheNet_v2_omnipath"
"Clec2l","Klrb1c","Secreted Signaling","NicheNet_v2_omnipath"
"Clec2l","Klrb1b","Secreted Signaling","NicheNet_v2_omnipath"
"Clec2l","Klrb1f","Secreted Signaling","NicheNet_v2_omnipath"
"Clec2l","Ncam1","Secreted Signaling","NicheNet_v2_nichenet_verschueren"
"Clec3a","Clec10a","Secreted Signaling","NicheNet_v2_omnipath"
"Clec3a","Mgl2","Secreted Signaling","NicheNet_v2_omnipath"
"Clec4g","Lag3","Secreted Signaling","NicheNet_v2_omnipath"
"Clmp","Jaml","Secreted Signaling","NicheNet_v2_omnipath"
"Clu","Lrp2","Secreted Signaling","NicheNet_v2_omnipath"
"Clu","Trem2","Secreted Signaling","NicheNet_v2_omnipath"
"Cmtm8","Egfr","Secreted Signaling","NicheNet_v2_omnipath"
"Cnmd","Ptprd","Secreted Signaling","NicheNet_v2_omnipath"
"Cntf","Cntfr","Secreted Signaling","NicheNet_v2_omnipath"
"Cntf","Crlf1","Secreted Signaling","NicheNet_v2_omnipath"
"Cntf","Il6ra","Secreted Signaling","NicheNet_v2_omnipath"
"Cntf","Il6st","Secreted Signaling","NicheNet_v2_omnipath"
"Cntf","Lifr","Secreted Signaling","NicheNet_v2_omnipath"
"Cntn1","Chl1","Secreted Signaling","NicheNet_v2_omnipath"
"Cntn1","Fcgrt","Secreted Signaling","NicheNet_v2_omnipath"
"Cntn1","Il23r","Secreted Signaling","NicheNet_v2_omnipath"
"Cntn1","Mcam","Secreted Signaling","NicheNet_v2_nichenet_verschueren"
"Cntn1","Nfasc","Secreted Signaling","NicheNet_v2_omnipath"
"Cntn1","Notch1","Secreted Signaling","NicheNet_v2_omnipath"
"Cntn1","Notch2","Secreted Signaling","NicheNet_v2_omnipath"
"Cntn1","Nrcam","Secreted Signaling","NicheNet_v2_omnipath"
"Cntn1","Pcdhb15","Secreted Signaling","NicheNet_v2_omnipath"
"Cntn1","Ptprz1","Secreted Signaling","NicheNet_v2_omnipath"
"Cntn1","Sgcg","Secreted Signaling","NicheNet_v2_omnipath"
"Cntn2","Cntn1","Secreted Signaling","NicheNet_v2_omnipath"
"Cntn2","Cntn2","Secreted Signaling","NicheNet_v2_nichenet_verschueren"
"Cntn2","Cntnap2","Secreted Signaling","NicheNet_v2_omnipath"
"Cntn2","Kremen1","Secreted Signaling","NicheNet_v2_omnipath"
"Cntn2","L1cam","Secreted Signaling","NicheNet_v2_nichenet_verschueren"
"Cntn2","Nrcam","Secreted Signaling","NicheNet_v2_omnipath"
"Cntn2","Nrp1","Secreted Signaling","NicheNet_v2_omnipath"
"Cntn3","Aplp1","Secreted Signaling","NicheNet_v2_nichenet_verschueren"
"Cntn3","App","Secreted Signaling","NicheNet_v2_nichenet_verschueren"
"Cntn3","Ptprg","Secreted Signaling","NicheNet_v2_omnipath"
"Cntn4","Aplp1","Secreted Signaling","NicheNet_v2_omnipath"
"Cntn4","App","Secreted Signaling","NicheNet_v2_omnipath"
"Cntn4","Lvrn","Secreted Signaling","NicheNet_v2_omnipath"
"Cntn4","Ptprg","Secreted Signaling","NicheNet_v2_omnipath"
"Cntn5","Chl1","Secreted Signaling","NicheNet_v2_omnipath"
"Cntn5","Fam187a","Secreted Signaling","NicheNet_v2_omnipath"
"Cntn5","Il1rapl1","Secreted Signaling","NicheNet_v2_nichenet_verschueren"
"Cntn5","Il1rapl2","Secreted Signaling","NicheNet_v2_nichenet_verschueren"
"Cntn5","Ptprg","Secreted Signaling","NicheNet_v2_omnipath"
"Cntn5","Slamf1","Secreted Signaling","NicheNet_v2_omnipath"
"Cntn5","Spaca6","Secreted Signaling","NicheNet_v2_omnipath"
"Cntn5","Tmem81","Secreted Signaling","NicheNet_v2_omnipath"
"Cntn6","Notch1","Secreted Signaling","NicheNet_v2_omnipath"
"Cntn6","Ptprg","Secreted Signaling","NicheNet_v2_omnipath"
"Col10a1","Itga1","Secreted Signaling","NicheNet_v2_omnipath"
"Col10a1","Itga10","Secreted Signaling","NicheNet_v2_omnipath"
"Col10a1","Itga11","Secreted Signaling","NicheNet_v2_omnipath"
"Col10a1","Itga2","Secreted Signaling","NicheNet_v2_omnipath"
"Col10a1","Itgb1","Secreted Signaling","NicheNet_v2_omnipath"
"Col10a1","Lair1","Secreted Signaling","NicheNet_v2_omnipath"
"Col11a1","Ddr1","Secreted Signaling","NicheNet_v2_omnipath"
"Col11a1","Itga1","Secreted Signaling","NicheNet_v2_omnipath"
"Col11a1","Itga10","Secreted Signaling","NicheNet_v2_omnipath"
"Col11a1","Itga11","Secreted Signaling","NicheNet_v2_omnipath"
"Col11a1","Itga2","Secreted Signaling","NicheNet_v2_omnipath"
"Col11a1","Itgb1","Secreted Signaling","NicheNet_v2_omnipath"
"Col11a2","Itga1","Secreted Signaling","NicheNet_v2_omnipath"
"Col11a2","Itga10","Secreted Signaling","NicheNet_v2_omnipath"
"Col11a2","Itga11","Secreted Signaling","NicheNet_v2_omnipath"
"Col11a2","Itga2","Secreted Signaling","NicheNet_v2_omnipath"
"Col11a2","Itgb1","Secreted Signaling","NicheNet_v2_omnipath"
"Col12a1","Itga1","Secreted Signaling","NicheNet_v2_omnipath"
"Col12a1","Itga10","Secreted Signaling","NicheNet_v2_omnipath"
"Col12a1","Itga11","Secreted Signaling","NicheNet_v2_omnipath"
"Col12a1","Itga2","Secreted Signaling","NicheNet_v2_omnipath"
"Col12a1","Itgb1","Secreted Signaling","NicheNet_v2_omnipath"
"Col13a1","Itga1","Secreted Signaling","NicheNet_v2_omnipath"
"Col13a1","Itga10","Secreted Signaling","NicheNet_v2_omnipath"
"Col13a1","Itga11","Secreted Signaling","NicheNet_v2_omnipath"
"Col13a1","Itga2","Secreted Signaling","NicheNet_v2_omnipath"
"Col13a1","Itgb1","Secreted Signaling","NicheNet_v2_omnipath"
"Col14a1","Cd44","Secreted Signaling","NicheNet_v2_omnipath"
"Col14a1","Itga1","Secreted Signaling","NicheNet_v2_omnipath"
"Col14a1","Itga10","Secreted Signaling","NicheNet_v2_omnipath"
"Col14a1","Itga11","Secreted Signaling","NicheNet_v2_omnipath"
"Col14a1","Itga2","Secreted Signaling","NicheNet_v2_omnipath"
"Col14a1","Itgb1","Secreted Signaling","NicheNet_v2_omnipath"
"Col15a1","Itga1","Secreted Signaling","NicheNet_v2_omnipath"
"Col15a1","Itga10","Secreted Signaling","NicheNet_v2_omnipath"
"Col15a1","Itga11","Secreted Signaling","NicheNet_v2_omnipath"
"Col15a1","Itga2","Secreted Signaling","NicheNet_v2_omnipath"
"Col15a1","Itgb1","Secreted Signaling","NicheNet_v2_omnipath"
"Col16a1","Itga1","Secreted Signaling","NicheNet_v2_omnipath"
"Col16a1","Itga10","Secreted Signaling","NicheNet_v2_omnipath"
"Col16a1","Itga11","Secreted Signaling","NicheNet_v2_omnipath"
"Col16a1","Itga2","Secreted Signaling","NicheNet_v2_omnipath"
"Col16a1","Itgb1","Secreted Signaling","NicheNet_v2_omnipath"
"Col17a1","Itga1","Secreted Signaling","NicheNet_v2_omnipath"
"Col17a1","Itga10","Secreted Signaling","NicheNet_v2_omnipath"
"Col17a1","Itga11","Secreted Signaling","NicheNet_v2_omnipath"
"Col17a1","Itga2","Secreted Signaling","NicheNet_v2_omnipath"
"Col17a1","Itgb1","Secreted Signaling","NicheNet_v2_omnipath"
"Col18a1","Gpc1","Secreted Signaling","NicheNet_v2_omnipath"
"Col18a1","Gpc4","Secreted Signaling","NicheNet_v2_omnipath"
"Col18a1","Itga1","Secreted Signaling","NicheNet_v2_omnipath"
"Col18a1","Itga10","Secreted Signaling","NicheNet_v2_omnipath"
"Col18a1","Itga11","Secreted Signaling","NicheNet_v2_omnipath"
"Col18a1","Itga2","Secreted Signaling","NicheNet_v2_omnipath"
"Col18a1","Itga5","Secreted Signaling","NicheNet_v2_omnipath"
"Col18a1","Itgb1","Secreted Signaling","NicheNet_v2_omnipath"
"Col18a1","Kdr","Secreted Signaling","NicheNet_v2_omnipath"
"Col18a1","Ptprs","Secreted Signaling","NicheNet_v2_omnipath"
"Col19a1","Itga1","Secreted Signaling","NicheNet_v2_omnipath"
