ID	HMDB ID	Metabolite name	metName	Receptor symbol	Protein name	PMID	Other.DB	MRID
10	HMDB0003276	Hydrogen sulfide	Hydrogen sulfide	Cd36	Platelet glycoprotein 4	31262715	Receptor; Transporter	MRM0010
11	HMDB0015531	Iron	Iron	Slc11a2	Natural resistance-associated macrophage protein 2	23506870	Transporter	MRM0011
12	HMDB0015531	Iron	Iron	Slc40a1	Solute carrier family 40 member 1	25209728; 30852438; 27667161; 24644245; 21875943; 20675164; 23506870; 21199650; 33787609; 17181986; 14757427; 15338274; 27773819; 23922661; 29212168; 24121729; 28219768; 28978826; 21175851	Transporter	MRM0012
13	HMDB0001311	D-Lactic acid	Lactate	Slc16a1	Monocarboxylate transporter 1	32144120; 22428047	Transporter	MRM0013
14	HMDB0000687	L-Leucine	Leucine	Slc1a5	Neutral amino acid transporter B(0)	33953707; 30071532; 30470977	Transporter	MRM0014
15	HMDB0000687	L-Leucine	Leucine	Slc3a2	4F2 cell-surface antigen heavy chain	33953707	Transporter	MRM0015
16	HMDB0000687	L-Leucine	Leucine	Slc7a5	Large neutral amino acids transporter small subunit 1	33953707	Transporter	MRM0016
17	HMDB0001429	Phosphate	Phosphate	Slc20a2	Sodium-dependent phosphate transporter 2	30721528	Transporter	MRM0017
18	HMDB0000259	Serotonin	Serotonin	Slc6a4	Sodium-dependent serotonin transporter	33868590; 31342534; 16251523; 25012842	Transporter	MRM0018
19	HMDB0000235	Thiamine	Thiamine	Slc19a1	Reduced folate transporter	28284395; 32498429	Transporter	MRM0019
20	HMDB0000235	Thiamine	Thiamine	Slc19a2	Thiamine transporter 1	28284395; 32498429	Transporter	MRM0020
