ID	HMDB ID	Metabolite name	metName	Receptor symbol	Protein name	PMID	Other.DB	MRID
671	HMDB0003378	Nitric oxide	Nitric oxide	Gucy1b1	Guanylate cyclase soluble subunit beta-1	Cellinker	Enzyme	MRM0671
672	HMDB0003378	Nitric oxide	Nitric oxide	Gucy1b2	Guanylate cyclase soluble subunit beta-2	Cellinker	Enzyme	MRM0672
673	HMDB0003378	Nitric oxide	Nitric oxide	Gucy1a1	Guanylate cyclase soluble subunit alpha-1	Cellinker	Enzyme	MRM0673
674	HMDB0003378	Nitric oxide	Nitric oxide	Gucy1a2	Guanylate cyclase soluble subunit alpha-2	Cellinker	Enzyme	MRM0674
675	HMDB0003406	D-Serine	D-Serine	Grin2a	Glutamate receptor ionotropic, NMDA 2A	Cellinker	Receptor	MRM0675
676	HMDB0003406	D-Serine	D-Serine	Grin2b	Glutamate receptor ionotropic, NMDA 2B	Cellinker	Receptor	MRM0676
677	HMDB0003406	D-Serine	D-Serine	Grin2c	Glutamate receptor ionotropic, NMDA 2C	Cellinker	Receptor	MRM0677
678	HMDB0003406	D-Serine	D-Serine	Grin2d	Glutamate receptor ionotropic, NMDA 2D	Cellinker	Receptor	MRM0678
679	HMDB0003848	D-myo-Inositol 3,4,5,6-tetrakisphosphate	D-myo-Inositol 3,4,5,6-tetrakisphosphate	Ano1	Anoctamin-1	Cellinker	Channel	MRM0679
680	HMDB0004080	Anandamide	Anandamide	Cacna1g	Voltage-dependent T-type calcium channel subunit alpha-1G	Cellinker	Channel	MRM0680
681	HMDB0004080	Anandamide	Anandamide	Cacna1h	Voltage-dependent T-type calcium channel subunit alpha-1H	Cellinker	Channel	MRM0681
682	HMDB0004080	Anandamide	Anandamide	Gpr55	G-protein coupled receptor 55	Cellinker	Receptor	MRM0682
683	HMDB0004385	Lipoxin A4	Lipoxin A4	Fpr-rs4	N-formyl peptide receptor 2	Cellinker	Receptor	MRM0683
684	HMDB0004385	Lipoxin A4	Lipoxin A4	Fpr2	N-formyl peptide receptor 2	Cellinker	Receptor	MRM0684
685	HMDB0004385	Lipoxin A4	Lipoxin A4	Fpr3	N-formyl peptide receptor 2	Cellinker	Receptor	MRM0685
686	HMDB0004385	Lipoxin A4	Lipoxin A4	Fpr-rs3	N-formyl peptide receptor 2	Cellinker	Receptor	MRM0686
687	HMDB0004385	Lipoxin A4	Lipoxin A4	Fpr-rs6	N-formyl peptide receptor 2	Cellinker	Receptor	MRM0687
688	HMDB0004486	Geranylgeranyl-PP	Geranylgeranyl-PP	Ggps1	Geranylgeranyl pyrophosphate synthase	Cellinker	Enzyme	MRM0688
689	HMDB0004486	Geranylgeranyl-PP	Geranylgeranyl-PP	Mvk	Mevalonate kinase	Cellinker	Enzyme	MRM0689
690	HMDB0004666	MG(0:0/20:4(5Z,8Z,11Z,14Z)/0:0)	MG(0:0/20:4(5Z,8Z,11Z,14Z)/0:0)	Cnr2	Cannabinoid receptor 2	Cellinker	Receptor	MRM0690
691	HMDB0004666	MG(0:0/20:4(5Z,8Z,11Z,14Z)/0:0)	MG(0:0/20:4(5Z,8Z,11Z,14Z)/0:0)	Gpr55	G-protein coupled receptor 55	Cellinker	Receptor	MRM0691
692	HMDB0006111	12-HETE	12-HETE	Ltb4r2	Leukotriene B4 receptor 2	Cellinker	Receptor	MRM0692
693	HMDB0006247	25-Hydroxycholesterol	25-Hydroxycholesterol	Lpar3	Lysophosphatidic acid receptor 3	Cellinker	Receptor	MRM0693
694	HMDB0006247	25-Hydroxycholesterol	25-Hydroxycholesterol	Lpar4	Lysophosphatidic acid receptor 4	Cellinker	Receptor	MRM0694
695	HMDB0006280	7-a,25-Dihydroxycholesterol	7-a,25-Dihydroxycholesterol	Trpm2	Transient receptor potential cation channel subfamily M member 2	Cellinker	Receptor	MRM0695
696	HMDB0006281	7-a,27-Dihydroxycholesterol	7-a,27-Dihydroxycholesterol	Ppara	Peroxisome proliferator-activated receptor alpha	Cellinker	Nuclear Receptor	MRM0696
697	HMDB0011134	5-HETE	5-HETE	Trpv1	Transient receptor potential cation channel subfamily V member 1	Cellinker	Receptor; Channel	MRM0697
698	HMDB0012275	Phenylethylamine	Phenylethylamine	Taar1	Trace amine-associated receptor 1	Cellinker	Receptor	MRM0698
699	HMDB0012535	12S-HHT	12S-HHT	Ltb4r2	Leukotriene B4 receptor 2	Cellinker	Receptor	MRM0699
700	HMDB0015532	Zinc	Zinc	Glra2	Glycine receptor subunit alpha-2	Cellinker	Receptor	MRM0700
701	HMDB0015532	Zinc	Zinc	Adrb2	Beta-2 adrenergic receptor	Cellinker	Receptor	MRM0701
702	HMDB0015532	Zinc	Zinc	Gabra1	Gamma-aminobutyric acid receptor subunit alpha-1	Cellinker	Receptor	MRM0702
703	HMDB0015532	Zinc	Zinc	Gabra2	Gamma-aminobutyric acid receptor subunit alpha-2	Cellinker	Receptor	MRM0703
704	HMDB0015532	Zinc	Zinc	Gabra3	Gamma-aminobutyric acid receptor subunit alpha-3	Cellinker	Receptor	MRM0704
705	HMDB0015532	Zinc	Zinc	Gabra4	Gamma-aminobutyric acid receptor subunit alpha-4	Cellinker	Receptor	MRM0705
706	HMDB0015532	Zinc	Zinc	Gabra5	Gamma-aminobutyric acid receptor subunit alpha-5	Cellinker	Receptor	MRM0706
707	HMDB0015532	Zinc	Zinc	Gabra6	Gamma-aminobutyric acid receptor subunit alpha-6	Cellinker	Receptor	MRM0707
708	HMDB0015532	Zinc	Zinc	Glra1	Glycine receptor subunit alpha-1	Cellinker	Receptor	MRM0708
709	HMDB0015532	Zinc	Zinc	Glra3	Glycine receptor subunit alpha-3	Cellinker	Receptor	MRM0709
710	HMDB0015532	Zinc	Zinc	Glrb	Glycine receptor subunit beta	Cellinker	Receptor	MRM0710
711	HMDB0015532	Zinc	Zinc	Gpr39	G-protein coupled receptor 39	Cellinker	Receptor	MRM0711
712	HMDB0015532	Zinc	Zinc	Trpm1	Transient receptor potential cation channel subfamily M member 1	Cellinker	Receptor; Channel	MRM0712
713	HMDB0015532	Zinc	Zinc	Trpm2	Transient receptor potential cation channel subfamily M member 2	Cellinker	Receptor	MRM0713
714	HMDB0000031	Androsterone	Androsterone	Nr1h4	Bile acid receptor	CellPhoneDB	Nuclear Receptor	MRM0714
