,M_1,M_2,M_3,M_4,M_5,M_6,M_7,M_8,M_9,M_10,M_11,M_12,M_13,M_14,M_15,M_16,M_17,M_18,M_19,M_20,M_21,M_22,M_23,M_24,M_25,M_26,M_27,M_28,M_29,M_30,M_31,M_32,M_33,M_34,M_35,M_36,M_37,M_38,M_39,M_40,M_41,M_42,M_43,M_44,M_45,M_46,M_47,M_48,M_49,M_50,M_51,M_52,M_53,M_54,M_55,M_56,M_57,M_58,M_59,M_60,M_61,M_62,M_63,M_64,M_65,M_66,M_67,M_68,M_69,M_70,M_71,M_72,M_73,M_74,M_75,M_76,M_77,M_78,M_79,M_80,M_81,M_83,M_84,M_85,M_87,M_88,M_89,M_90,M_91,M_92,M_93,M_94,M_95,M_96,M_97,M_98,M_99,M_100,M_101,M_102,M_103,M_105,M_106,M_107,M_108,M_109,M_110,M_111,M_112,M_113,M_114,M_115,M_116,M_117,M_118,M_119,M_120,M_121,M_122,M_123,M_124,M_125,M_126,M_127,M_128,M_129,M_130,M_131,M_132,M_133,M_134,M_135,M_136,M_137,M_138,M_139,M_140,M_141,M_142,M_143,M_144,M_145,M_146,M_147,M_148,M_149,M_150,M_151,M_152,M_153,M_154,M_155,M_156,M_157,M_158,M_159,M_160,M_161,M_162,M_163,M_164,M_165,M_166,M_167,M_168,M_169,M_170,M_171
A.122,0.012544811,0.0017167628,0.0006499365,0.0017601401,0.008904934,-1.3411045e-06,0.01814109,0.011141866,0.000861302,2.817437e-05,5.8978796e-05,4.053116e-06,0.0043409467,0.008068085,0.0,0.004246652,0.001975298,0.002532065,0.027026296,0.010947883,0.020696402,-7.6871365e-06,1.8782914e-05,1.1194497e-06,0.0042735636,-1.010485e-07,0.018664867,8.776784e-05,3.259629e-09,0.0016426742,0.0075675845,0.019115537,0.0007149726,0.0054218173,0.013204783,-5.517155e-06,5.921349e-06,0.018782556,0.015753984,-1.14664435e-05,0.0014313608,0.0044561774,0.0039450377,0.009001613,7.15442e-05,0.004519433,0.009447515,0.017776668,0.0032018423,0.012239188,2.1141022e-07,0.0029368699,0.01784724,0.0020755827,0.00042276084,1.6856939e-07,2.8017908e-05,0.0038783848,-2.6762486e-05,0.0006966144,0.00076007843,3.4924597e-10,6.3315034e-05,-6.2864274e-07,0.006588191,2.3473054e-05,0.02271086,0.011535823,0.0131011605,0.012516528,-2.5387853e-06,0.0052366406,0.0029072016,-7.841736e-07,3.3043325e-06,0.008096904,-3.5390258e-08,0.0049215257,0.021235913,0.0016396791,8.627772e-05,-3.1478703e-06,0.00046099722,0.004342541,-2.3450702e-06,0.0031036586,4.414469e-07,2.6058406e-05,-1.9855797e-05,-5.820766e-09,0.012871534,0.0061576664,-1.007691e-05,2.0954758e-08,3.878027e-06,0.011865377,0.009142309,0.010778487,-1.6242266e-06,0.026119173,1.5776604e-06,0.002820447,0.00050097704,0.0042696446,-2.6192516e-05,0.0053100735,0.015561461,0.0034394711,4.546717e-06,0.03536573,0.017422229,0.008620769,0.013253778,-4.8428774e-08,0.004671335,0.013180941,0.006756544,0.011147022,0.005291879,0.032791972,0.0004950091,0.00038295984,-3.1106174e-06,-5.122274e-09,0.018200517,-3.6325306e-05,0.00024869293,0.01791501,0.0008869469,0.000454925,-1.1667609e-05,0.015504032,0.009633422,-7.683411e-09,3.8463622e-05,0.0013994575,0.022135705,-2.597645e-05,2.3748726e-08,1.681596e-05,0.0036362559,0.014151573,-7.547438e-06,0.030928046,0.011190802,5.4098666e-05,0.020024776,0.020968825,0.011547059,0.02472651,0.000118397176,0.00015226752,0.02024424,-2.9094517e-06,0.0113226175,-2.354756e-05,0.00013127923,0.005543351,0.003193438,0.0113684535,0.005892694,0.0025704354,5.54882e-06,2.1513551e-07,3.0733645e-06,0.0,0.010908484,5.509332e-05
C.54,0.012544811,0.0011236966,0.000519529,0.0016200393,0.008749574,-1.3411045e-06,0.016756624,0.005296305,7.452071e-05,5.42067e-05,3.9421022e-05,4.053116e-06,0.004085198,0.008068085,-2.6542693e-08,0.004246652,0.001975298,0.0024923831,0.027026296,0.010947883,0.020696402,-7.6871365e-06,1.8782914e-05,1.4025718e-06,0.0041027516,-1.010485e-07,0.018664867,8.776784e-05,3.259629e-09,0.0014523715,0.007460147,0.018955708,0.0004093498,0.002334386,0.013549089,-5.517155e-06,5.921349e-06,0.018782556,0.015776247,-1.14664435e-05,0.0014313608,0.0044561774,0.0035326928,0.009001613,0.000106319785,0.0047236383,0.009178817,0.01791948,0.0032018423,0.012239188,2.1141022e-07,0.0029368699,0.017840624,0.0009739399,0.0003143847,5.820766e-09,2.9977411e-05,0.0038783848,-2.6762486e-05,0.00019037724,0.00076007843,4.4815242e-06,6.3315034e-05,-6.2864274e-07,0.006588191,2.386421e-05,0.018170327,0.011295706,0.01309219,0.011867225,-2.5387853e-06,0.0052366406,0.0029072016,-7.841736e-07,3.3043325e-06,0.008096904,-3.5390258e-08,0.0049215257,0.021235913,2.8155744e-05,8.627772e-05,-3.1478703e-06,0.00046099722,0.004342541,-2.3450702e-06,0.0031036586,4.414469e-07,2.6058406e-05,-1.9855797e-05,-5.820766e-09,0.012871534,0.0061576664,-1.007691e-05,2.0954758e-08,3.878027e-06,0.011865377,0.009142309,0.010778487,-1.6242266e-06,0.026119173,1.5776604e-06,0.002820447,0.00050097704,0.0050414503,-2.6192516e-05,0.0053100735,0.015561461,0.0034394711,4.546717e-06,0.019507498,0.017422229,0.008611202,0.013319552,2.6933849e-06,0.004671335,0.012808025,0.0044417977,0.01128301,0.004883021,0.033393055,0.0004950091,8.3491206e-05,-3.1106174e-06,-5.122274e-09,0.018200517,-3.6325306e-05,0.00035973638,0.01791501,0.00082692504,0.000102669,-1.1667609e-05,0.014147878,0.009633422,-7.683411e-09,3.0376017e-05,0.0013994575,0.021973193,-2.597645e-05,2.3748726e-08,1.681596e-05,0.0036362559,0.013991684,-7.547438e-06,0.030928046,0.010999918,1.5717e-05,0.020024776,0.020968825,0.011547059,0.018377602,0.000118397176,0.00014609843,0.019656181,-2.9094517e-06,0.011237383,-2.354756e-05,0.00012213737,0.0054604113,0.003193438,0.0113684535,0.005977869,0.0022765547,5.54882e-06,1.6856939e-07,1.6912818e-06,5.820766e-11,0.010908484,4.6804547e-05
A.123,0.012544811,0.0012194812,0.0007259697,0.0017772764,0.008774728,-1.3411045e-06,0.01813677,0.0074089766,0.00032891333,4.4416636e-05,4.7326088e-05,4.053116e-06,0.0040881634,0.008068085,2.0954758e-07,0.004246652,0.001975298,0.0025269687,0.027026296,0.010947883,0.020696402,-7.6871365e-06,1.8782914e-05,5.820766e-11,0.004356429,-1.010485e-07,0.018664867,8.776784e-05,3.259629e-09,0.0014795363,0.0075072944,0.019035697,0.00034941733,0.002434224,0.013548523,-5.517155e-06,5.921349e-06,0.018782556,0.015815288,-1.14664435e-05,0.0014313608,0.0044561774,0.003555581,0.009001613,8.7589025e-05,0.0046558827,0.009237558,0.018117726,0.0032018423,0.012239188,2.1141022e-07,0.0029368699,0.017855406,0.001911208,0.00042310357,1.3038516e-08,3.2600015e-05,0.0038783848,-2.6762486e-05,0.00032853335,0.00076007843,3.451109e-05,6.3315034e-05,-6.2864274e-07,0.006588191,2.456829e-05,0.02131614,0.011839688,0.013108224,0.0120667815,-2.5387853e-06,0.0052366406,0.0029072016,-7.841736e-07,3.3043325e-06,0.008096904,-3.5390258e-08,0.0049215257,0.021235913,9.376556e-05,8.627772e-05,-3.1478703e-06,0.00046099722,0.004342541,-2.3450702e-06,0.0031036586,4.414469e-07,2.6058406e-05,-1.9855797e-05,-5.820766e-09,0.012871534,0.0061576664,-1.007691e-05,2.0954758e-08,3.878027e-06,0.011865377,0.009142309,0.010778487,-1.6242266e-06,0.026119173,1.5776604e-06,0.002820447,0.00050097704,0.0032446086,-2.6192516e-05,0.0053100735,0.015561461,0.0034394711,4.546717e-06,0.017226875,0.017422229,0.008625776,0.013417453,3.5576522e-07,0.004671335,0.01332581,0.0048030913,0.011945903,0.0049586296,0.034301907,0.0004950091,0.000104144216,-3.1106174e-06,-5.122274e-09,0.018200517,-3.6325306e-05,0.00054515153,0.01791501,0.00085921586,0.00042551756,-1.1667609e-05,0.01536563,0.009633422,-7.683411e-09,9.971857e-05,0.0013994575,0.022912621,-2.597645e-05,2.3748726e-08,1.681596e-05,0.0036362559,0.014087677,-7.547438e-06,0.030928046,0.011124462,3.925711e-05,0.020024776,0.020968825,0.011547059,0.02868718,0.000118397176,0.000177145,0.021284431,-2.9094517e-06,0.011524558,-2.354756e-05,0.0001578778,0.0058953464,0.003193438,0.0113684535,0.0059346557,0.004060328,5.54882e-06,2.0582229e-07,2.2370368e-06,0.0,0.010908484,8.3073974e-05
A.124,0.012544811,0.0035685897,0.001358524,0.0018965602,0.008973718,-1.3411045e-06,0.018695682,0.0070774555,0.0011886507,7.164851e-05,4.6551228e-05,4.053116e-06,0.0047810525,0.008068085,1.8626451e-08,0.004246652,0.001975298,0.0025999844,0.027026296,0.010947883,0.020696402,-7.6871365e-06,1.8782914e-05,2.5805086e-05,0.00720343,-1.010485e-07,0.018664867,8.776784e-05,3.259629e-09,0.0016412139,0.0075573623,0.019149214,0.00062871724,0.007420957,0.013480395,-5.517155e-06,5.921349e-06,0.018782556,0.01579547,-1.14664435e-05,0.0014313608,0.0044561774,0.0038369894,0.009001613,0.00019313395,0.004827991,0.009341925,0.018369079,0.0032018423,0.012239188,2.1141022e-07,0.0029368699,0.017844766,0.0026720613,0.00057023764,1.3364479e-07,3.998354e-05,0.0038783848,-2.6762486e-05,0.00063447654,0.00076007843,1.968816e-06,6.3315034e-05,-6.2864274e-07,0.006588191,2.4210662e-05,0.02422738,0.011706561,0.013117224,0.012336999,-2.5387853e-06,0.0052366406,0.0029072016,-7.841736e-07,3.3043325e-06,0.008096904,-3.5390258e-08,0.0049215257,0.021235913,0.00021133572,8.627772e-05,-3.1478703e-06,0.00046099722,0.004342541,-2.3450702e-06,0.0031036586,4.414469e-07,2.6058406e-05,-1.9855797e-05,-5.820766e-09,0.012871534,0.0061576664,-1.007691e-05,2.0954758e-08,3.878027e-06,0.011865377,0.009142309,0.010778487,-1.6242266e-06,0.026119173,1.5776604e-06,0.002820447,0.00050097704,0.006414205,-2.6192516e-05,0.0053100735,0.015561461,0.0034394711,4.546717e-06,0.026278973,0.017422229,0.00864321,0.013296634,1.9732863e-05,0.004671335,0.013835251,0.004171133,0.013499796,0.0049429983,0.03445235,0.0004950091,0.00011321157,-3.1106174e-06,-5.122274e-09,0.018200517,-3.6325306e-05,0.0004683584,0.01791501,0.0009126961,0.0004477054,-1.1667609e-05,0.015173823,0.009633422,-7.683411e-09,4.5403838e-05,0.0013994575,0.022278756,-2.597645e-05,2.3748726e-08,1.681596e-05,0.0036362559,0.014052957,-7.547438e-06,0.030928046,0.01115787,6.778538e-05,0.020024776,0.020968825,0.011547059,0.02902481,0.000118397176,0.0001571551,0.022253275,-2.9094517e-06,0.011638522,-2.354756e-05,0.00017045438,0.0055887103,0.003193438,0.0113684535,0.006132275,0.0027676225,5.54882e-06,2.3003668e-07,2.618879e-06,1.6391277e-07,0.010908484,9.6566975e-05
B.89,0.012544811,0.004765466,0.0013664812,0.0018355697,0.00883764,-1.3411045e-06,0.015591264,0.0111480355,0.00049345195,4.858151e-05,4.0777028e-05,4.053116e-06,0.0044356883,0.008068085,5.4202974e-07,0.004246652,0.001975298,0.0026151687,0.027026296,0.010947883,0.020696402,-7.6871365e-06,1.8782914e-05,8.1490725e-08,0.008112162,-1.010485e-07,0.018664867,8.776784e-05,3.259629e-09,0.0014972091,0.00747478,0.019065976,0.00031795353,0.011577487,0.013515741,-5.517155e-06,5.921349e-06,0.018782556,0.015758187,-1.14664435e-05,0.0014313608,0.0044561774,0.0036201626,0.009001613,7.9363585e-05,0.004685715,0.00940308,0.017763644,0.0032018423,0.012239188,2.1141022e-07,0.0029368699,0.01786089,0.001929462,0.0005850345,2.849847e-07,9.443611e-05,0.0038783848,-2.6762486e-05,0.00053771585,0.00076007843,4.021451e-05,6.3315034e-05,-6.2864274e-07,0.006588191,2.354756e-05,0.024447769,0.011497378,0.013094842,0.011945605,-2.5387853e-06,0.0052366406,0.0029072016,-7.841736e-07,3.3043325e-06,0.008096904,-3.5390258e-08,0.0049215257,0.021235913,0.00044503808,8.627772e-05,-3.1478703e-06,0.00046099722,0.004342541,-2.3450702e-06,0.0031036586,4.414469e-07,2.6058406e-05,-1.9855797e-05,-5.820766e-09,0.012871534,0.0061576664,-1.007691e-05,2.0954758e-08,3.878027e-06,0.011865377,0.009142309,0.010778487,-1.6242266e-06,0.026119173,1.5776604e-06,0.002820447,0.00050097704,0.007785499,-2.6192516e-05,0.0053100735,0.015561461,0.0034394711,4.546717e-06,0.018244892,0.017422229,0.008578092,0.013258547,5.181879e-06,0.004671335,0.015030831,0.005501449,0.014182746,0.005003482,0.035116196,0.0004950091,5.3767115e-05,-3.1106174e-06,-5.122274e-09,0.018200517,-3.6325306e-05,0.00013820827,0.01791501,0.00087720156,0.00038912147,-1.1667609e-05,0.01500693,0.009633422,-7.683411e-09,3.414601e-05,0.0013994575,0.022136599,-2.597645e-05,2.3748726e-08,1.681596e-05,0.0036362559,0.0140610635,-7.547438e-06,0.030928046,0.011179775,7.947162e-05,0.020024776,0.020968825,0.011547059,0.030923128,0.000118397176,0.00015462935,0.02513209,-2.9094517e-06,0.01205188,-2.354756e-05,0.00022830814,0.0054926276,0.003193438,0.0113684535,0.005913824,0.0024469644,5.54882e-06,3.6414713e-07,4.9956143e-06,1.5506521e-07,0.010908484,0.00017032772
C.55,0.012544811,0.000281848,0.00044804066,0.0015399605,0.00871259,-1.3411045e-06,0.015596449,0.0039141774,6.582588e-06,2.9262155e-05,3.783405e-05,4.053116e-06,0.004066378,0.008068085,1.094304e-08,0.004246652,0.001975298,0.0024861246,0.027026296,0.010947883,0.020696402,-7.6871365e-06,1.8782914e-05,-8.8475645e-08,0.003734395,-1.010485e-07,0.018664867,8.776784e-05,3.259629e-09,0.0013760328,0.0074418485,0.018888384,0.00038136542,0.0034332275,0.013297081,-5.517155e-06,5.921349e-06,0.018782556,0.015743494,-1.14664435e-05,0.0014313608,0.0044561774,0.0034536272,0.009001613,0.00016847253,0.0045298934,0.0090786815,0.018523216,0.0032018423,0.012239188,2.1141022e-07,0.0029368699,0.017817795,0.0003375858,0.00016041845,0.0,1.7881393e-05,0.0038783848,-2.6762486e-05,8.863956e-05,0.00076007843,6.100163e-08,6.3315034e-05,-6.2864274e-07,0.006588191,2.3290515e-05,0.016332269,0.010809362,0.013086766,0.0117844045,-2.5387853e-06,0.0052366406,0.0029072016,-7.841736e-07,3.3043325e-06,0.008096904,-3.5390258e-08,0.0049215257,0.021235913,5.505979e-06,8.627772e-05,-3.1478703e-06,0.00046099722,0.004342541,-2.3450702e-06,0.0031036586,4.414469e-07,2.6058406e-05,-1.9855797e-05,-5.820766e-09,0.012871534,0.0061576664,-1.007691e-05,2.0954758e-08,3.878027e-06,0.011865377,0.009142309,0.010778487,-1.6242266e-06,0.026119173,1.5776604e-06,0.002820447,0.00050097704,0.003930375,-2.6192516e-05,0.0053100735,0.015561461,0.0034394711,4.546717e-06,0.02332887,0.017422229,0.008581936,0.013212442,5.6177378e-06,0.004671335,0.011440694,0.0029907972,0.0100821555,0.0048160255,0.033705413,0.0004950091,0.0001142472,-3.1106174e-06,-5.122274e-09,0.018200517,-3.6325306e-05,0.00057569146,0.01791501,0.00085665286,4.1671097e-05,-1.1667609e-05,0.013332844,0.009633422,-7.683411e-09,1.2692064e-05,0.0013994575,0.021383166,-2.597645e-05,2.3748726e-08,1.681596e-05,0.0036362559,0.013880044,-7.547438e-06,0.030928046,0.010987759,3.441423e-05,0.020024776,0.020968825,0.011547059,0.01535818,0.000118397176,0.00012276322,0.019296914,-2.9094517e-06,0.01116702,-2.354756e-05,0.00011384487,0.005217418,0.003193438,0.0113684535,0.00609383,0.0014757365,5.54882e-06,9.1735274e-08,2.4400651e-06,4.4237822e-09,0.010908484,3.9484352e-05
A.125,0.012544811,0.0021208525,0.0012422055,0.0017985702,0.008904785,-1.3411045e-06,0.01729387,0.010733217,0.00042118877,4.2486936e-05,4.234165e-05,4.053116e-06,0.004725918,0.008068085,1.094304e-08,0.004246652,0.001975298,0.0024476796,0.027026296,0.010947883,0.020696402,-7.6871365e-06,1.8782914e-05,3.3423305e-05,0.006205708,-1.010485e-07,0.018664867,8.776784e-05,3.259629e-09,0.0016842484,0.00756222,0.019053608,0.00063288957,0.008529782,0.014080584,-5.517155e-06,5.921349e-06,0.018782556,0.015815705,-1.14664435e-05,0.0014313608,0.0044561774,0.003710404,0.009001613,0.00012905896,0.0046414733,0.009300202,0.017914027,0.0032018423,0.012239188,2.1141022e-07,0.0029368699,0.017851025,0.0024407208,0.0006347373,9.5460564e-08,6.132573e-05,0.0038783848,-2.6762486e-05,0.00041159987,0.00076007843,2.2631139e-07,6.3315034e-05,-6.2864274e-07,0.006588191,2.457574e-05,0.022727817,0.0117506385,0.013103515,0.01246506,-2.5387853e-06,0.0052366406,0.0029072016,-7.841736e-07,3.3043325e-06,0.008096904,-3.5390258e-08,0.0049215257,0.021235913,0.00036863238,8.627772e-05,-3.1478703e-06,0.00046099722,0.004342541,-2.3450702e-06,0.0031036586,4.414469e-07,2.6058406e-05,-1.9855797e-05,-5.820766e-09,0.012871534,0.0061576664,-1.007691e-05,2.0954758e-08,3.878027e-06,0.011865377,0.009142309,0.010778487,-1.6242266e-06,0.026119173,1.5776604e-06,0.002820447,0.00050097704,0.0062118173,-2.6192516e-05,0.0053100735,0.015561461,0.0034394711,4.546717e-06,0.026793242,0.017422229,0.008621275,0.013425201,7.053092e-05,0.004671335,0.014925659,0.0062435865,0.014026195,0.005041927,0.03403008,0.0004950091,0.00012782216,-3.1106174e-06,-5.122274e-09,0.018200517,-3.6325306e-05,0.0010052621,0.01791501,0.00089617074,0.00033834577,-1.1667609e-05,0.014629006,0.009633422,-7.683411e-09,3.632903e-05,0.0013994575,0.021981686,-2.597645e-05,2.3748726e-08,1.681596e-05,0.0036362559,0.013955116,-7.547438e-06,0.030928046,0.011116624,8.302182e-05,0.020024776,0.020968825,0.011547059,0.02868408,0.000118397176,0.00014240295,0.023727536,-2.9094517e-06,0.011836857,-2.354756e-05,0.00019598007,0.0055138767,0.003193438,0.0113684535,0.006024301,0.0023924708,5.54882e-06,1.9650906e-07,2.1010637e-06,1.5553087e-07,0.010908484,0.0001270473
A.126,0.012544811,0.0019378662,0.0010927916,0.0018030852,0.0088994205,-1.3411045e-06,0.01947838,0.0065083504,0.00055707246,7.69496e-05,4.454702e-05,4.053116e-06,0.0047637224,0.008068085,-3.7718564e-08,0.004246652,0.001975298,0.0026250482,0.027026296,0.010947883,0.020696402,-7.6871365e-06,1.8782914e-05,6.9327652e-06,0.006189078,-1.010485e-07,0.018664867,8.776784e-05,3.259629e-09,0.0015653819,0.0075237155,0.01907593,0.00050837547,0.0059552193,0.01327011,-5.517155e-06,5.921349e-06,0.018782556,0.015779436,-1.14664435e-05,0.0014313608,0.0044561774,0.0037773848,0.009001613,0.00017718226,0.0048566014,0.009275109,0.017737746,0.0032018423,0.012239188,2.1141022e-07,0.0029368699,0.017840981,0.001588583,0.0003073141,1.3504177e-08,2.8908253e-05,0.0038783848,-2.6762486e-05,0.00042368472,0.00076007843,1.9278377e-07,6.3315034e-05,-6.2864274e-07,0.006588191,2.3923814e-05,0.020311505,0.011288434,0.013114899,0.012128651,-2.5387853e-06,0.0052366406,0.0029072016,-7.841736e-07,3.3043325e-06,0.008096904,-3.5390258e-08,0.0049215257,0.021235913,0.00014395267,8.627772e-05,-3.1478703e-06,0.00046099722,0.004342541,-2.3450702e-06,0.0031036586,4.414469e-07,2.6058406e-05,-1.9855797e-05,-5.820766e-09,0.012871534,0.0061576664,-1.007691e-05,2.0954758e-08,3.878027e-06,0.011865377,0.009142309,0.010778487,-1.6242266e-06,0.026119173,1.5776604e-06,0.002820447,0.00050097704,0.0057868958,-2.6192516e-05,0.0053100735,0.015561461,0.0034394711,4.546717e-06,0.023321241,0.017422229,0.0086200535,0.013273895,1.31726265e-05,0.004671335,0.013840258,0.0043648332,0.0133728385,0.0050587207,0.03418088,0.0004950091,0.00012562424,-3.1106174e-06,-5.122274e-09,0.018200517,-3.6325306e-05,0.00057168305,0.01791501,0.00090260804,0.00033138692,-1.1667609e-05,0.015115768,0.009633422,-7.683411e-09,3.0327588e-05,0.0013994575,0.022008777,-2.597645e-05,2.3748726e-08,1.681596e-05,0.0036362559,0.014104366,-7.547438e-06,0.030928046,0.011179715,6.2610954e-05,0.020024776,0.020968825,0.011547059,0.025104135,0.000118397176,0.00014966726,0.02171424,-2.9094517e-06,0.0115430355,-2.354756e-05,0.00015731901,0.005474746,0.003193438,0.0113684535,0.006107807,0.0023379475,5.54882e-06,1.7974526e-07,3.0584633e-06,1.2433156e-07,0.010908484,8.154288e-05
C.56,0.012544811,0.00013193488,0.00014269352,0.0013900399,0.008668482,-1.3411045e-06,0.015099049,0.002190739,3.5203993e-07,1.8626451e-05,3.632903e-05,4.053116e-06,0.0036333948,0.008068085,1.2805685e-09,0.004246652,0.001975298,0.0024190247,0.027026296,0.010947883,0.020696402,-7.6871365e-06,1.8782914e-05,-3.585592e-07,0.0030730963,-1.010485e-07,0.018664867,8.776784e-05,3.259629e-09,0.001292944,0.0073983073,0.018855363,0.00045669824,0.0009551197,0.012995809,-5.517155e-06,5.921349e-06,0.018782556,0.015697658,-1.14664435e-05,0.0014313608,0.0044561774,0.0033817142,0.009001613,8.700788e-05,0.004414454,0.009059846,0.018848717,0.0032018423,0.012239188,2.1141022e-07,0.0029368699,0.017821282,0.00028593093,0.00019672513,0.0,8.404255e-06,0.0038783848,-2.6762486e-05,6.345287e-05,0.00076007843,1.5320256e-07,6.3315034e-05,-6.2864274e-07,0.006588191,2.2497028e-05,0.013263494,0.010690093,0.013076067,0.011572242,-2.5387853e-06,0.0052366406,0.0029072016,-7.841736e-07,3.3043325e-06,0.008096904,-3.5390258e-08,0.0049215257,0.021235913,2.2947788e-06,8.627772e-05,-3.1478703e-06,0.00046099722,0.004342541,-2.3450702e-06,0.0031036586,4.414469e-07,2.6058406e-05,-1.9855797e-05,-5.820766e-09,0.012871534,0.0061576664,-1.007691e-05,2.0954758e-08,3.878027e-06,0.011865377,0.009142309,0.010778487,-1.6242266e-06,0.026119173,1.5776604e-06,0.002820447,0.00050097704,0.0029767603,-2.6192516e-05,0.0053100735,0.015561461,0.0034394711,4.546717e-06,0.018364102,0.017422229,0.008566022,0.01318264,1.8402934e-06,0.004671335,0.010761559,0.0025085658,0.009466678,0.0047932863,0.032858938,0.0004950091,0.000308685,-3.1106174e-06,-5.122274e-09,0.018200517,-3.6325306e-05,0.00047092885,0.01791501,0.0008042604,4.6938658e-07,-1.1667609e-05,0.012482166,0.009633422,-7.683411e-09,2.1606684e-07,0.0013994575,0.020167083,-2.597645e-05,2.3748726e-08,1.681596e-05,0.0036362559,0.013845742,-7.547438e-06,0.030928046,0.0109393,2.4151057e-05,0.020024776,0.020968825,0.011547059,0.008459508,0.000118397176,8.5152686e-05,0.01781717,-2.9094517e-06,0.010919452,-2.354756e-05,8.8870525e-05,0.0047609806,0.003193438,0.0113684535,0.005933225,0.00046742707,5.54882e-06,5.5413693e-08,1.4584512e-06,0.0,0.010908484,2.0910054e-05
A.127,0.012544811,0.001582101,0.0005198717,0.0017207265,0.008738667,-1.3411045e-06,0.015341848,0.0070904195,0.00016423315,2.6185066e-05,4.3135136e-05,4.053116e-06,0.004063979,0.008068085,-4.2002648e-07,0.004246652,0.001975298,0.0025419295,0.027026296,0.010947883,0.020696402,-7.6871365e-06,1.8782914e-05,-2.1234155e-07,0.0064778626,-1.010485e-07,0.018664867,8.776784e-05,3.259629e-09,0.0014068782,0.007478714,0.01899305,0.00044145435,0.0026635677,0.013346434,-5.517155e-06,5.921349e-06,0.018782556,0.015780449,-1.14664435e-05,0.0014313608,0.0044561774,0.0036312789,0.009001613,4.0825456e-05,0.0044996142,0.0092146695,0.01895073,0.0032018423,0.012239188,2.1141022e-07,0.0029368699,0.017835677,0.0010762811,0.0002553761,1.0477379e-09,4.427135e-05,0.0038783848,-2.6762486e-05,0.00025511533,0.00076007843,3.6135316e-06,6.3315034e-05,-6.2864274e-07,0.006588191,2.3938715e-05,0.019686848,0.011362702,0.0131059885,0.01189217,-2.5387853e-06,0.0052366406,0.0029072016,-7.841736e-07,3.3043325e-06,0.008096904,-3.5390258e-08,0.0049215257,0.021235913,2.6240945e-05,8.627772e-05,-3.1478703e-06,0.00046099722,0.004342541,-2.3450702e-06,0.0031036586,4.414469e-07,2.6058406e-05,-1.9855797e-05,-5.820766e-09,0.012871534,0.0061576664,-1.007691e-05,2.0954758e-08,3.878027e-06,0.011865377,0.009142309,0.010778487,-1.6242266e-06,0.026119173,1.5776604e-06,0.002820447,0.00050097704,0.0034077168,-2.6192516e-05,0.0053100735,0.015561461,0.0034394711,4.546717e-06,0.019916207,0.017422229,0.008558571,0.013264865,3.259629e-09,0.004671335,0.01298666,0.0038875937,0.011948675,0.005021572,0.033946425,0.0004950091,0.00010160357,-3.1106174e-06,-5.122274e-09,0.018200517,-3.6325306e-05,0.00033103675,0.01791501,0.0008251369,0.00022248924,-1.1667609e-05,0.014669329,0.009633422,-7.683411e-09,6.131455e-05,0.0013994575,0.02245754,-2.597645e-05,2.3748726e-08,1.681596e-05,0.0036362559,0.014047265,-7.547438e-06,0.030928046,0.011055768,2.251938e-05,0.020024776,0.020968825,0.011547059,0.022518486,0.000118397176,0.00015878677,0.020642668,-2.9094517e-06,0.011402488,-2.354756e-05,0.00014159828,0.005669594,0.003193438,0.0113684535,0.0057912767,0.003071621,5.54882e-06,1.3550743e-07,2.630055e-06,5.820766e-09,0.010908484,6.546825e-05
